<U>2, so I can bring my family<C><U>Are there any good movies in Spring Hills, Kansas this afternoon?<A>What kind of movie are you looking for?<U>Something for my family.<PN>find_movies<PAN>description.other<PAV>good movies<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Family Jewels<PRAV>Not My Problem<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>rated 69% on Rotten Tomatoes<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>rated 72% approval on Rotten Tomatoes<A>Okay, Family Jewels is an romantic comedy movie rated 69% on Rotten Tomatoes and Not My Problem is a comedy movie that is rated 72% approval on Rotten Tomatoes<U>What is Family Jewels about?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds.<U>What is Not My Problem about?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>I'd like to see Family Jewels<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Family Jewels<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<A>Ok, it is showing at the AMC Holiday Theater<U>Perfect<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>this afternoon<PR>find_showtimes<PRAN>time.showing<PRAV>2<PRAV>5<PRAV>8:10 pm<A>It's showing at 2, 5 and 8:10 pm. What time do you prefer?	[A]How many tickets do you need?	dlg-3c092ed8-7551-4e3d-81ad-7836d79ed716
"<U>Sure, that should work<C><U>Hello, can you do me a favor?<A>Certainly<U>I need some movie tickets<A>Sure, did you have a particular theater in mind?<U>Anything in the valley<A>Okay, what would you like to see?<U>Knives out<A>Did you have a time?<U>As close to six as you can get<PN>find_showtimes<PAN>name.movie<PAV>Knives out<PAN>name.theater<PAV>valley<PAN>date.showing<PAV>today<PAN>time.preference<PAV>close to six<PR>find_showtimes<PRAN>time.showing<PRAV>6:40<PRAV>4:20<A>Okay, let me look. Is 6:40 too late?<U>What is before that?""<A>4:20<U>no that won't work. What about Bombshell?<PN>find_showtimes<PAN>name.movie<PAV>Bombshell<PAN>name.theater<PAV>valley<PAN>date.showing<PAV>today<PAN>time.preference<PAV>close to six<PR>find_showtimes<PRAN>time.showing<PRAV>6:15<A>I'll look. Yes, that is playing at 6:15<U>What theater?<PN>find_theaters<PAN>name.movie<PAV>Bombshell<PAN>location<PAV>Sherman Oaks<PR>find_theaters<PRAN>name.theater<PRAV>Archlight<A>The Archlight in Sherman Oaks<U>Perfect. I need three tickets<PN>find_showtimes<PAN>name.movie<PAV>Bombshell<PAN>name.theater<PAV>Archlight<PAN>date.showing<PAV>today<PAN>time.preference<PAV>close to six<PR>find_showtimes<PRAN>time.showing<PRAV>6:15<A>Okay, Two for the 6:15<U>No, three. I need three tickets.<A>Oh, three, got it. Is the tenth row alright?"	[A]Okay, anything else?	dlg-b1bcfef1-3e96-4d13-8c58-aa18f585547e
<PR>book_tickets<PRAN>status<PRAV>success<C><U>Hello, what time is avengers playing today<A>It is playing at 7pm today sir<U>Oh thats very unfortuante, whgats playing at 10pm then<A>Both avengers and the lionking<U>What why are both my favortite movies playimg at the same time<A>Your first choice was postponed im sorry<U>WIll i be able to get a refund for the first tciket then<A>Ill have to go see with the manger, ill ve right back sir<U>Okay thank you<A>I just spoke yo the manager and you will be able to get a refubnd<U>Omg really<A>Yes SO that willl be for avengers at 7pm right?<U>Yess i appreiate it<A>No problem Thank you for choosing AMC theaters in GAithersbiuonger Maryland you preferred theatere<U>Please resevr a seat for bpth you and yiur friend<A>Uhm ill choose seatc F18, 19 in the back please<U>Alright taht would be 2 tickets<A>Okay total is 10.75 please<U>okayy<PN>book_tickets<PAN>name.movie<PAV>avengers<PAN>name.theater<PAV>AMC theaters<PAN>time.showing<PAV>7pm<PAN>num.tickets<PAV>2<PAN>date.showing<PAV>today	[A]That will be all	dlg-413fbf45-b27e-4038-a895-a55f155030e6
<PR>find_theaters<PRAN>name.theater<PRAV>Colonial Park Cinema<C><U>Hello. I want you to find out if two movies released several months ago are still play in local cinemas.<A>Okay. What is your first movie choice?<U>The film, Harriet.<PN>find_theaters<PAN>name.movie<PAV>Harriet<PAN>location<PAV>nearby	[A]Searching. The film, Harriet, is only playing at one local theater: Colonial Park Cinema.	dlg-ae429966-5e92-44d8-a2ed-ac91af495bc2
<U>I'm deciding between Beyond the Storm and Family Jewels, can you tell me about the first option?<C><U>We'd like to see a movie<A>Sure, when would you like to see it?<U>Today<A>How many tickets do you want?<U>2<A>What is your location?<U>We're in Spring Hills, Kansas<A>Ok, do you know what you want to see?	[PN]get_movie_attribute[PAN]name.movie[PAV]Beyond the Storm[PAN]attribute[PAV]name.genre	dlg-c501f69e-6859-4d90-b4b8-c4afa9fc5077
<U>do you arrange movie tickets?	[A]Sure. What movie would you like to see?	dlg-eb66c096-900e-4434-aaf5-577dbbc2b612
<U>Yes.<C><S><A>Hello. How can I help you?<U>I'd like to get some information on the movie that stars James Bond. I'm interested in seeing it.<PN>resolve_movie<PAN>name.movie<PAV>the movie that stars James Bond<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>Yes!<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>the city where the Golden Gate bridge is located<PN>resolve_location<PAN>location<PAV>the city where the Golden Gate bridge is located<PR>resolve_location<PRAN>location<PRAV>San Francisco, California<A>OK. San Francisco, California. One moment.<U>Right.<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>San Francisco, California<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Plaza 24<PRAV>AMC Mountain 16<A>OK. No Time To Die is currently playing at AMC Mountain 16 and Cinemark Plaza 24 in San Francisco, California. Do you have a preference?<U>Yes, AMC Mountain 16 please.<A>OK. Let me check showtimes at AMC Mountain 16.	[PN]find_showtimes[PAN]name.movie[PAV]No Time To Die[PAN]name.theater[PAV]AMC Mountain 16[PAN]date.showing[PAV]today[PAN]time.preference[PAV]any	dlg-c95efe1a-8b43-4c9f-9c0a-6e49b018149e
<U>YEs<C><U>I want to buy tickets at AMC Mountain 16<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?<U>This is in Santa Barbara, California<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>OK. And are you interested in AMC Mountain 16 or AMC Mercado 24?<U>I said AMC Mountain 16....<A>Sorry for the trouble but I wanted to make sure I have it right.<U>OK.<A>Is there a particular movie you’re looking for?<U>Can we move along here already. You're taking too much of my time<A>OK, so far I understand that you are interested in tickets for tonight at AMC Mountain 16. We just need to decide on a movie, the number of tickets and a showtime.<U>What is playing there?<PN>find_movies<PAN>name.theater<PAV>AMC Mountain 16<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<A>I found two movies at AMC Mountain 16: No Time To Die and Mulan.<U>No Time To Die sounds good<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm 9:10 pm<A>Got it. And how many tickets?<U>Me, Irene, and Joe. So you count.<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?	[A]Is it OK to go ahead and purchase these tickets?	dlg-96706212-4b2f-463b-89a9-c571ddc993b0
<U>i don't remember the exact title, but i mention someone new freek.<C><U>i finding theater information for a few movies in Barbara California. and i start by asking for information about someone name<PN>resolve_movie<PAN>name.movie<PAV>someone name<PR>resolve_movie<PRAN>name.movie<PRAV>Fathima<A>Happy to help! Let me just confirm that the movie you're talking about is Fathima. Is that right?<U>That’s right.<PN>find_theaters<PAN>name.movie<PAV>Fathima<PAN>location<PAV>Barbara California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. Fathima is playing at both AMC Mountain 16 and Cinemark Plaza 24 in Barbara California.	[A]Let me .[PN]resolve_movie[PAN]name.movie[PAV]some new freek	dlg-d00d45c1-3ca7-4541-be43-1a07ad038948
<U>That is fine<C><U>I would like to see the movie Dolitte<A>Ok, what theater would you like?<U>Which theater is closest to me?<PN>find_theaters<PAN>name.movie<PAV>Dolitte<PAN>location<PAV>closest<PR>find_theaters<PRAN>name.theater<PRAV>Majestic Cinema<PRAV>Village Pointe Cinema - Marcus Theatres<A>Village Pointe Cinema - Marcus Theatres is closest to your home address<U>Any other theaters?<A>Majestic Cinema of Omaha - Marcus Theatres is 3.1 miles away<U>Ok, what are the show times at Village Pointe Cinema - Marcus Theatres<PN>find_showtimes<PAN>name.movie<PAV>Dolitte<PAN>name.theater<PAV>Village Pointe Cinema - Marcus Theatres<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>3:40pm<PRAV>6:50pm<A>Dolitte is playing at today at 3:40pm and 6:50pm<U>How much are tickets for the 6:50pm<A>Adults or children?<U>Both<A>Children are $7.50 and adults are $12.50<U>Ok, I need 3 adults and 2 kids to the 6:50pm showing<A>Would you like to select your seats?<U>Yes, in the middle<A>Ok, I have five seats in row B	[A]The total is $52.50, would you like to proceed?	dlg-f61c6abb-60b9-4bed-8e00-1bbcae12ce00
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<C><U>Id like to see a movie in Exton PA, Can you give me info on the new movie with Will Smith and Martin Lawrence?<PN>resolve_movie<PAN>name.movie<PAV>movie with Will Smith and Martin Lawrence<PR>resolve_movie<PRAN>name.movie<PRAV>Bad Boys<A>Happy to help! Let me just confirm that the movie you're talking about is Bad Boys. Is that right?<U>That’s right.<PN>find_theaters<PAN>name.movie<PAV>Bad Boys<PAN>location<PAV>Exton, PA<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. Bad Boys is playing at both AMC Mountain 16 and Cinemark Plaza 24 in Exton, PA.<U>Please help me remember the name of another movie. I dont remember the title, but it is the movie with the trolls in it.<A>Let me check.<PN>resolve_movie<PAN>name.movie<PAV>Movie with the trolls in it<PR>resolve_movie<PRAN>name.movie<PRAV>Trolls World Tour<A>I found some titles that might be what you're thinking of. The first is Long Way To Darkness. The second is Trolls World Tour. Are either of those the one you want?<U>Now i remember, it is Trolls World Tour.<A>Great let me check theaters.<U>OK.<PN>find_theaters<PAN>name.movie<PAV>Trolls World Tour<PAN>location<PAV>Exton, PA	[A]I looks like Trolls World Tour is only playing at AMC Mountain 16.	dlg-6d043f92-09fa-4460-95fe-b606bcd25429
<U>2 please<C><U>I want to see either Family Jewels or Not My Problem please.<A>What city are you in?<U>Spring Hills, Kansas please.<A>How many are going?	[A]Which day?	dlg-018d67c9-d2c4-4fd7-b421-bae834055a66
<U>that sounds good, 9:10pm works great for us<C><U>My friends and I are looking for a movie to watch<A>No problem. Is there a particular type of movie you’re looking for?<U>we are interested in action movie<A>Sure. I can help with that. Let me listings at AMC Mercado 24.<U>we wantsomething in AMC Mountain 16<A>Oh, sorry about that. So you’re interested in action films at AMC Mountain 16, right?<U>that is correct<PN>find_movies<PAN>name.genre<PAV>action<PAN>name.theater<PAV>AMC Mountain 16<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<A>OK. I see one action movie playing at AMC Mountain 16: No Time To Die. Remaining showtimes are 4:30pm, 6:40pm and 9:10pm. Does any of those work?	[A]Great. And how many tickets?	dlg-ae94eef1-e5ce-44a0-9279-831fad9334bb
