<U>I would like to see the movie on Sunday.<C><U>I will be having my mom and dad from out of town visiting me and we want to see a movie. I am trying to find a newly released movie in theater.<A>That sounds fantastic, does your mom and dad have any specific types of movies that they like to watch.<U>My father likes science fiction movies, so we want to see the movie Ad Astra, with Brad Pitt.<A>What is the name of the Theater you would like to see the movie at?<U>I would like to see the movie at the Brennan Theater in Modesto California<A>What show times are you free to see the movie at?<U>I would like to see the movie at 4:00PM<A>How many tickets do you need?<U>I will need 3 tickets.<A>What Day will you see the movie on?	[A]What Screening preference do you have?	dlg-f5a0df6f-195a-4c84-9119-6b6d2748a518
<U>Is that a drama or something?<C><U>Hi, I'd like to get some information on films in my area.<A>Sure thing. What is your location?<U>I'm in Spring Hills Kansas.<A>Okay, got it. Now what information did you want to look up?<U>I wanted to see if you tell me what a couple of films are about.<A>Sure, I can do that. What are the film titles?<U>The first one I want to know about is a movie called Shuttered.<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>film about a woman that moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<A>Okay, Shuttered is a horror film about a woman that moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.<U>Okay, and the second is called Not My Problem.<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>is about a troubled teen that tries to convince his depressed elderly neighbor that things are not what they seem<A>Not My Problem is about a troubled teen that tries to convince his depressed elderly neighbor that things are not what they seem.	[PN]get_movie_attribute[PAN]name.movie[PAV]Not My Problem[PAN]attribute[PAV]name.genre	dlg-2ac3c295-6485-40c6-a699-d7e9968a33da
<PR>resolve_location<PRAN>location<PRAV>Hillview Washington<C><U>I would like to go for a movie today in Hillview Washington.<PN>resolve_location<PAN>location<PAV>Hillview Washington	[A]Tell me what type of movies you want to see.	dlg-558c1828-0c49-4b7a-8d5f-90ffcad0601a
<PR>book_tickets<PRAN>status<PRAV>success<C><U>Hi I wanna see a movie<A>Sure, what one?<U>I wanna see Frozen 2<A>what time?<U>7:30 please<A>Okay and what city?<U>Peoria, AZ<PN>find_theaters<PAN>name.movie<PAV>Frozen 2<PAN>location<PAV>Peoria, AZ<PR>find_theaters<PRAN>name.theater<PRAV>Harkins<PN>find_showtimes<PAN>name.movie<PAV>Frozen 2<PAN>name.theater<PAV>Harkins<PAN>date.showing<PAV>today<PAN>time.preference<PAV>7:30<PR>find_showtimes<PRAN>time.showing<PRAV>7:30<A>Okay, there is a showing at Harkins at that time<U>I will take it<A>Two tickets right?<U>Actually, I wanna make it 3<A>3 tickets for Frozen 2?<U>Yes<A>Standard showing at Harkins in Peoria for three people at 7:30 right?<U>Yes<A>Okay, let me book that<U>Okay then<PN>book_tickets<PAN>name.movie<PAV>Frozen 2<PAN>name.theater<PAV>Harkins<PAN>num.tickets<PAV>three people<PAN>time.showing<PAV>7:30<PAN>date.showing<PAV>today<PAN>seating<PAV>any	[A]It has been booked	dlg-39505c3b-36f9-4f9c-8266-cf4420faffb9
<PR>find_showtimes<PRAN>time.showing<PRAV>5:30 pm<C><U>I want to take the whole family to see Sonic the Hedgehog tomorrow.<A>Which theater?<U>Downtown Concord. Brenden Theater.<A>How many tickets?<U>2 adults, 2 kids.<A>Day or night?<U>Night.<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>Brenden Theater<PAN>date.showing<PAV>tomorrow<PAN>time.preference<PAV>Night<PR>find_showtimes<PRAN>time.showing<PRAV>7 pm<PRAV>8 pm<PRAV>9:30 pm<A>7 pm, 8 pm, or 9:30 pm?<U>7 pm.<A>Before 6 pm, adult tickets are $9 instead of $13.<U>Sounds good. When is last show before 6 pm?<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>Brenden Theater<PAN>date.showing<PAV>tomorrow<PAN>time.preference<PAV>before 6 pm	[A]5:30 pm.	dlg-9c7689a8-bbfb-4285-8e85-484d39ca39d7
<U>IMAX please.<C><U>Hello assistant. I want some movie tickets.<A>Okay, what movie do you want to see?<U>I think I want to see Frozen 2.<A>OK. What movie theatre will you be visiting?<U>I want to go to Marcus Theatre in Belleville.<A>Okay. How many tickets do you need?<U>Two tickets please.<A>Okay, would you like to see it in IMAX or standard?	[A]What time would you like to see your movie?	dlg-74c33813-abc7-4d4e-b025-a75e6c3711d0
<U>Gosh. Please check the CMX Brickell City Centre for those some movie and showtimes.<C><U>Hey, I want to take my daughter to a movie.<A>That's nice. What movie do you want to see with her?<U>Well, she wants to watch Frozen 2.<A>Ok! When do you want to take her.<U>I would like to take her tonight!<A>What time were you thinking?<U>7:00 P.M would be idea.<A>What theater are you wanting to go to?<U>I want to go to the Le Jeune Cinema 6 in Miami.<A>Alright. Let me check on that for you.<U>Ok.<PN>find_showtimes<PAN>name.movie<PAV>Frozen 2.<PAN>name.theater<PAV>Le Jeune Cinema 6<PAN>date.showing<PAV>today<PAN>time.preference<PAV>7:00 P.M<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>It seems that movie is not avaliable at that time.<U>Can you chekck the 7:30 one then?<A>Yes.<U>Thanks.<PN>check_tickets<PAN>name.movie<PAV>Frozen 2.<PAN>name.theater<PAV>Le Jeune Cinema 6<PAN>num.tickets<PAV>one<PAN>time.preference<PAV>7:30<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>unavailable<A>It seems that one is sold out as well.<U>Geesh. Ok. Are either of those times available for Jumanji?<PN>check_tickets<PAN>name.movie<PAV>Jumanji<PAN>name.theater<PAV>Le Jeune Cinema 6<PAN>num.tickets<PAV>one<PAN>time.preference<PAV>tonight!<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>unavailable<A>It doesn't look like it. No, they aren't.	[A]Yes. I can do that.	dlg-5886b2bc-64f2-4ec3-89d5-db92e85e2245
<U>That's great where it is plaing<C><U>I would like to watch a movie tonight<A>That's great.. Do you have any movie in mind?<U>Yes I am thinking of kids movie<PN>find_movies<PAN>name.genre<PAV>kids<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Frozen 2<PRAV>new Jumanji<A>That's great. Frozen 2 and new Jumanji are currently running which are good family movies<U>How is Frozen 2 rated<PN>get_movie_attribute<PAN>name.movie<PAV>Frozen 2<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>pretty good. It is 8.0 on IMDB<A>The rating is pretty good. It is 8.0 on IMDB	[PN]find_theaters[PAN]name.movie[PAV]Frozen 2[PAN]location[PAV]nearby	dlg-6e42130f-ec43-485d-b5cc-4ecfdd2e107a
<PR>find_theaters<PRAN>name.theater<PRAV>Syracuse Regal Cinema<PRAV>Syracuse Destiny USA<C><U>I'm interested in seeing a movie tonight. Could you help me out?<A>Sure thing. Which city would you like to see the movie?<U>Syracuse, New York is fine.<PN>find_theaters<PAN>location<PAV>Syracuse, New York	[A]Perfect. You have a few theater options. You could go to the Syracuse Regal Cinema or the Syracuse Destiny USA theater.	dlg-5edd01ab-7879-4c6d-b31c-03d606fb8736
<U>That is correct.<C><U>I would like to know what movies are playing at the movie theatre tonight.<A>OK. And in what city?<U>Let's look at showings in Creek's End, Oregon.<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>I would like to take the kids to see the new Mulan.<PN>find_theaters<PAN>name.movie<PAV>Mulan<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>Sure. In Creek’s End, Oregon, I see that Mulan is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>Let's go with AMC Mercado 24 because we will be close to there tonight.<PN>find_showtimes<PAN>name.movie<PAV>Mulan<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>No problem. It looks like tonight’s remaining showtimes for Mulan at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?<U>It is probably wise to choose the first one, 5:00PM.<A>Great. And how many tickets?<U>What movie theatre was this at again?<A>Sure, you chose AMC Mercado 24.<U>Thank. What was the show time?<A>For the showtime you said you preferred 5:00pm.<U>Thank you, I apologize for my forgetfulness. What were you previously asking me?<A>I was just asking you how many tickets you'll need.<U>It will be myself and the two kids.<A>All right. Let me confirm that you’d like three tickets for Mulan at AMC Mercado 24 tonight at 5:00pm. Is that all correct?	[A]Is it OK to go ahead and purchase these tickets?	dlg-9ff4f7c9-ecb4-4bc2-968b-e2aa4bfc34b7
