"<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<C><U>Good morning! I think I would like to see a movie tomorrow.<A>Wonderful! I can certainly help with booking that for you.<U>The problem is I am not sure what I want to see. I am in the mood for either a romantic comedy or horror film.<PN>find_movies<PAN>name.genre<PAV>romantic comedy or horror<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>'Family Jewels'<PRAV>'Shuttered'<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist""<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes score of 69%<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>name.person"	"[A]There are movies showing in both those genres. 'Family Jewels' is a Romantic Comedy with a Rotten Tomatoes score of 69%. Synopsis of this movie is ""a famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist"" It stars Melissa McCarthy and Ryan Reynolds."	dlg-7cf36373-91dd-4782-b548-d20522f007dd
<U>Okay, what movies are playing at each theater.<C><U>I'd like help purchasing movie tickets in Spring Hills Kansas.<PN>find_theaters<PAN>location<PAV>Spring Hills Kansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<PRAV>Cinemark Downtown<A>Sure, there are two theaters, AMC Holiday and Cinemark Downtown.	[PN]find_movies[PAN]name.theater[PAV]AMC Holiday[PAN]location[PAV]Spring Hills Kansas	dlg-843ee051-d945-4df6-b6b3-32d1777f73f8
<PR>get_movie_attribute<PRAN>name.person<PRAV>Clyde Stewart<C><U>Hi, I'm thinking I'd like to go to the movies tonight.<A>OK. Do you have anything in mind?<U>No, nothing in particular.<A>Sure. And what city are you looking in?<U>I am in Brando, Texas.<A>Brando, Texas. Got it. And is there a particular type of movie you’d like to see?<U>No, can you tell me a few movies that are out right now?<PN>find_movies<PAN>location<PAV>Brando, Texas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Stella’s House<A>A few titles playing in your area are No Time To Die, Mulan, and Stella’s House.<U>Stella's House! I've heard that's really go. Who directed that?<PN>get_movie_attribute<PAN>attribute<PAV>name.person<PAN>name.movie<PAV>Stella’s House	[A]The director of Stella’s House is Clyde Stewart.	dlg-8aa2b8e4-2cc2-47b6-96ae-bbe98ef0f898
<U>That works for me, what time is the movie?<C><U>I'd like to get some tickets to see a movie tonight.<A>Okay, What movie did you want to see?<U>Uncut Gems.<A>All right, that is currently playing, is there a preference as to which theater yo want to see it in?<U>What time is it playing at Showcase?<A>It's not playing at Showcase Cinemas.<U>Is it playing anywhere at 8 pm tonight?<PN>find_showtimes<PAN>time.preference<PAV>8 pm<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>Showcase Cinemas<PAN>name.movie<PAV>Uncut Gems<PR>find_showtimes<PRAN>time.showing<PRAV>10 pm<A>It is not playing at 8 pm. The next showing is not until 10 pm.<U>That's too late. What about 1917?<A>1917 is playing in theaters now.<U>Which is the closest theater to me?<PN>find_theaters<PAN>name.movie<PAV>1917<PAN>location<PAV>closest theater<PR>find_theaters<PRAN>name.theater<PRAV>Premiere<A>It's playing at Premiere.	[PN]find_showtimes[PAN]time.preference[PAV]8 pm[PAN]date.showing[PAV]tonight[PAN]name.theater[PAV]Premiere[PAN]name.movie[PAV]1917	dlg-f2d6aa68-1e01-4024-9687-83d31ef2a7bc
<PR>resolve_location<PRAN>location<PRAV>Spring Hill in Kansas<C><U>Hi,I'd like to book some movie tickets.<A>Ok. Is there a particular movie you had in mind?<U>Not sure. I want to go to the theater in Spring Hill in Kansas.<PN>resolve_location<PAN>location<PAV>Spring Hill in Kansas	[A]Have you seen what was playing yet?	dlg-c07efc02-5941-4f49-a899-d77d7162fcca
<U>No that's all.<C><U>I really want to see a movie tonight.<A>OK. Do you have anything in mind?<U>Nope, not yet anyways.<A>Sure. And what city are you looking in?<U>I'm in Brando, Texas right now.<PN>resolve_location<PAN>location<PAV>Brando, Texas<PR>resolve_location<PRAN>location<PRAV>Brando, Texas<A>Brando, Texas. Got it. And is there a particular type of movie you’d like to see?<U>What are some of the movies playing right now?<PN>find_movies<PAN>location<PAV>Brando, Texas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Stella’s House<A>A few titles playing in your area are No Time To Die, Mulan, and Stella’s House.<U>Oh Stella's house sounded good. Who directed it?<PN>get_movie_attribute<PAN>attribute<PAV>name.person<PAN>name.movie<PAV>Stella’s House<PR>get_movie_attribute<PRAN>name.person<PRAV>Clyde Stewart<A>The director of Stella’s House is Clyde Stewart.<U>I love that director so much! What theater and showtimes are available for Stella's house?<PN>find_theaters<PAN>name.movie<PAV>Stella’s House<PAN>location<PAV>Brando, Texas<PR>find_theaters<PRAN>name.theater<PRAV>Milford Theater<A>OK. Hold on a moment while I get showtimes.<PN>find_showtimes<PAN>name.movie<PAV>Stella’s House<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>Milford Theater<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<A>OK. Stella’s House is playing at the Milford Theater. Showtimes are 4:40pm, 7:10pm, and 9:30pm. Which one would you prefer?<U>Oh you know what I can't tonight, but I can tomorrow.<A>No problem. Let me check the showtimes for tomorrow.<PN>find_showtimes<PAN>name.movie<PAV>Stella’s House<PAN>date.showing<PAV>tomorrow<PAN>name.theater<PAV>Milford Theater<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<A>OK. The showtimes for tomorrow are the same. Which one should I book?<U>What was the last one?<A>Sure. The last showing is 9:30pm.<U>Yep that is the one I want.<A>All right. Let me confirm. You’d like 4 tickets for the 9:30pm showing of Stella’s House at Milford Theater tomorrow. Is that all correct?<U>Yeah it all looks good.<A>Is it OK to go ahead and purchase these tickets?<U>Yes!<PN>book_tickets<PAN>name.movie<PAV>Stella’s House<PAN>name.theater<PAV>Milford Theater<PAN>time.showing<PAV>9:30pm<PAN>num.tickets<PAV>4<PAN>date.showing<PAV>tomorrow<PR>book_tickets<PRAN>status<PRAV>success<A>OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	[A]OK. Enjoy your movie!	dlg-a6d55fae-b4ab-4c11-91dd-3626152af348
<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<C><U>I want to take a date to the movies tonight.<A>What city?<U>Spring Hills Kansas.<A>What theater?<U>AMC Holiday Theater.<A>What movie?<U>I am not sure, is there any comedies?<PN>find_movies<PAN>location<PAV>Spring Hills Kansas<PAN>name.theater<PAV>AMC Holiday Theater<PAN>name.genre<PAV>comedies<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<A>Not My Problem, and Family Jewels.<U>What is Not My Problem about?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot	[A]A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem.	dlg-591ba5e0-4425-4f6c-b441-7fc244816e24
<U>Hi there. I want to take some friends to the movies to see Dolittle tonight and was hoping you could help me arrange that.	[A]I would be more than happy to. Where are you located?	dlg-79d0e04b-2d9d-4f7e-bdd8-f92288d603e5
<PR>find_showtimes<PRAN>time.showing<PRAV>9:00pm<C><U>I want to go to a movie tonight.<A>What city?<U>Spring Hills Kansas.<A>What theater.<U>The AMC Holiday Theater.<A>What movie?<U>Is there a horror movie?<PN>find_movies<PAN>location<PAV>Spring Hills Kansas<PAN>name.theater<PAV>AMC Holiday Theater<PAN>name.genre<PAV>horror<PR>find_movies<PRAN>name.movie<PRAV>Shuttered<A>Shuttered.<U>What is it about?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<A>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.<U>What is it rated?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<A>It is rated R.<U>Get me 1 ticket for the latest showtime.<PN>find_showtimes<PAN>name.movie<PAV>Shuttered<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>latest showtime	[A]Is 9:00pm OK?	dlg-4a7e5ec4-b86d-4694-b57e-49643207b23e
<U>good<C><U>i am going to movie<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?<U>santa barbara,california<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>OK. And are you interested in AMC Mountain 16 or AMC Mercado 24?<U>AMC Mountain 16<A>Sorry for the trouble but I wanted to make sure I have it right.<U>OK.<A>Is there a particular movie you’re looking for?<U>i like to action movies<A>OK, so far I understand that you are interested in tickets for tonight at AMC Mountain 16. We just need to decide on a movie, the number of tickets and a showtime.<U>AMC Mountain 16<PN>find_movies<PAN>name.theater<PAV>AMC Mountain 16<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<A>I found two movies at AMC Mountain 16: No Time To Die and Mulan.<U>no time to die<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm 9:10 pm<A>Got it. And how many tickets?<U>3<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?<U>confrom<A>Is it OK to go ahead and purchase these tickets?<U>good<PN>book_tickets<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>AMC Mountain 16<PAN>time.showing<PAV>4:30pm<PAN>num.tickets<PAV>three<PAN>date.showing<PAV>tonight<PR>book_tickets<PRAN>status<PRAV>success<A>OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	[A]OK. Enjoy your movie!	dlg-f2073067-0c65-4ab9-8f8a-8b570c869099
<PR>find_theaters<PRAN>name.theater<PRAV>Milford Theater<C><U>please i want you to help me to get a movie ticket tonight<A>OK. Do you have anything in mind?<U>no,not at all<A>Sure. And what city are you looking in?<U>Am around Brando,Texas<A>Brando, Texas. Got it. And is there a particular type of movie you’d like to see?<U>which one are you showing tonight<PN>find_movies<PAN>location<PAV>Brando, Texas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Stella’s House<A>A few titles playing in your area are No Time To Die, Mulan, and Stella’s House.<U>oh, Stella's House that's cool,who is the director please<PN>get_movie_attribute<PAN>attribute<PAV>name.person<PAN>name.movie<PAV>Stella’s House<PR>get_movie_attribute<PRAN>name.person<PRAV>Clyde Stewart<A>The director of Stella’s House is Clyde Stewart.<U>I love that,can you tell me more about the time,theaters etc of the movie<PN>find_theaters<PAN>name.movie<PAV>Stella’s House<PAN>location<PAV>Brando, Texas	[PN]find_showtimes[PAN]name.movie[PAV]Stella’s House[PAN]date.showing[PAV]tonight[PAN]name.theater[PAV]Milford Theater	dlg-d9cc989f-c4d4-47f8-9679-b141481fe13b
