<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<C><U>Hi! I want movie tickets for tonight for AMC Mountain 16.<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?<U>Sure, it's in Santa Barbara, California.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California	[A]OK. And are you interested in AMC Mountain 16 or AMC Mercado 24?	dlg-b97eb5ee-d4ed-41fa-95c8-11ef94c580a1
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<C><U>Good afternoon. I would like to see a movie today please.<A>Sure, what movie would you like?<U>Not sure yet, is anything funny or romantic playing?<A>Where are you located?<U>Spring Hills Kansas is where my boyfriend lives so we will see it there.<PN>find_movies<PAN>description.other<PAV>anything funny or romantic<PAN>location<PAV>Spring Hills Kansas<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Not My Problem - Comedy - rated PG-13 - Rotten Tomatoes 72% - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>That sounds so funny, is there anything romantic playing?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 69%<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>Family Jewels - Romantic Comedy - rated R - Rotten Tomatoes 69% - A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds.<U>Great, they both sound good. Can you tell me showtimes and where they are playing?<PN>find_theaters<PAN>location<PAV>Spring Hills Kansas<PAN>name.movie<PAV>Not My Problem	[PN]find_theaters[PAN]location[PAV]Spring Hills Kansas[PAN]name.movie[PAV]Family Jewels	dlg-fa360ff9-f237-4072-9bab-b0fd1abb897b
<PR>get_movie_attribute<PRAN>review.critic<PRAV>87% Rotten Tomatoes<C><U>Hey, we want to go to the movies tonight.<A>Sure. What movie would you like to see?<U>We usually like to go to Boulevard 14 Cinema in Petaluma. Could you let me know what is playing there?<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.<U>Could you give me some information about Mulan?<A>Sure. What specifically would you like to know?<U>What's the story about?<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>description.plot<PRAV>Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way<A>OK. Here’s the synopsis of Mulan: Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way.<U>What are the ratings like for Mulan? Like both audience and movie critic ratings.<PN>get_movie_attribute<PAN>attribute<PAV>review.audience<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>review.audience<PRAV>92%<PN>get_movie_attribute<PAN>attribute<PAV>review.critic<PAN>name.movie<PAV>Mulan	[A]Mulan has an 87% Rotten Tomatoes score and a 92% audience rating.	dlg-4ecc7d10-dcd1-4106-8ed6-c6bd8700577c
<U>Yes<C><U>Show times for Star Wars: The Rise of Skywalker tomorrow at AMC near me?<PN>find_showtimes<PAN>name.movie<PAV>Star Wars: The Rise of Skywalker<PAN>name.theater<PAV>AMC<PAN>date.showing<PAV>tomorrow<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:30 PM<PRAV>8:15 PM<PRAV>10:00 PM<PRAV>6:30 PM<A>There is a 4:30 PM, 6:30 PM, 8:15 PM and a 10:00 PM showing tomorrow Thursday, January 9, 2020<U>Are these in IMAX or regular viewing?<A>The listed times are available in IMAX, would you like to book tickets?<U>Yes, I want to book tickets for the 6:30 PM show<A>In regular or IMAX viewing?<U>IMAX<A>How many tickets do you need?<U>I need four tickets<A>From previous purchases you have bought seats 12E, 12F, 12G and 12H would you like those seats again?<U>Yes<A>You confirm a purchase of 4 tickets for the 6:30 PM Star Wars: The Rise of Skywalker in IMAX seats 12E, 12F, 12G and 12H?<U>Yes<PN>book_tickets<PAN>name.movie<PAV>Star Wars: The Rise of Skywalker<PAN>name.theater<PAV>AMC<PAN>num.tickets<PAV>4<PAN>time.showing<PAV>6:30 PM<PAN>date.showing<PAV>tomorrow<PAN>seating<PAV>12E, 12F, 12G and 12H<PR>book_tickets<PRAN>status<PRAV>success<A>Purchase successful, tickets have been purchased. Should I send them to your phone?	[A]Can I help you with anything else?	dlg-bde001d3-ebe1-46bb-b658-3573602beef3
<PR>find_movies<PRAN>name.movie<PRAV>Little WOmen<PRAV>Jumanji<C><U>Which movies are popular right now?<PN>find_movies<PAN>description.other<PAV>popular	[A]Little WOmen and Jumanji are top grossing.	dlg-89250151-15c7-49d7-8428-a5b28a0715ef
"<PR>book_tickets<PRAN>status<PRAV>success<C><U>Hey I'm trying to catch a flick tonight.<A>OK. Can you tell me the city and state where the theater is located?<U>Yes, Santa Barbara, California.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I see two theaters, AMC Mountain 16 and AMC Mercado 24. Are you interested in a particular movie?<U>Ooo those are some dope theaters.<A>OK. Is there a movie you have in mind?<U>I don't know what's out there.<A>Sure. Do you have a favorite genre?<U>What do you mean ""genre""?<A>Genre is the movie category, like comedy, drama, action, etc.<U>Oh ok, I'm into action stuff.<PN>find_movies<PAN>name.theater<PAV>AMC Mountain 16<PAN>name.genre<PAV>action<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<A>Ok. Let’s see what action films are out.<PN>find_movies<PAN>name.theater<PAV>AMC Mercado 24<PAN>name.genre<PAV>action<PR>find_movies<PRAN>name.movie<PRAV>empty<A>I found one action movie at AMC Mountain 16: No Time To Die.<U>What time is No Time to Die playing?<A>One moment.<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<A>Remaining showtimes for No Time To Die are 4:30pm, 6:40pm and 9:10pm.<U>I'll do 9:10pm.<A>Got it. And how many tickets?<U>Enough for me and my two amigos.<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?<U>Yes.<A>Is it OK to go ahead and purchase these tickets?<U>Yes!<PN>book_tickets<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>AMC Mountain 16<PAN>time.showing<PAV>4:30pm<PAN>num.tickets<PAV>three<PAN>date.showing<PAV>tonight"	[A]OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	dlg-93d5b6f4-e20a-476f-8b3d-de000abb03fc
<U>Oh that sounds interesting, what abut the other?<C><U>May I get some help?<A>Sure what can I do for you?<U>I need some info about a couple of movies I want to see.<A>Okay which titles?<U>Not My Problem is one and the other is Family Jewels.<A>Okay give me a second and I will pull up the info on those movies.<U>Thank you !<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Okay first we have Not My Problem - Comedy - rated PG-13 - Rotten Tomatoes 72% - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.	[PN]get_movie_attribute[PAN]name.movie[PAV]Family Jewels[PAN]attribute[PAV]name.genre	dlg-3c5b43b4-5a99-49a4-8710-215f879f4d89
<PR>book_tickets<PRAN>status<PRAV>success<C><U>I need movie tickets please.<A>How many?<U>2 tickets please at Legacy Monument Family 12<A>For which movie?<U>Sam's Delight.<A>Okay great, for tonight?<U>yes please.<A>Okay great foe what time?<U>Actually, what else is playing there?<PN>find_movies<PAN>name.theater<PAV>Legacy Monument Family 12<PR>find_movies<PRAN>name.movie<PRAV>Far From you<PN>find_showtimes<PAN>name.movie<PAV>Far From you<PAN>name.theater<PAV>Legacy Monument Family 12<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>840<PRAV>1040 pm<A>Far From you is another option. It is on at 840 and 1040 pm.<U>No. I will stick with the first one.<A>Okay no problem.<U>Thanks a lot.<A>For what time?<U>830 pm please.<A>Okay great, so have 2 tickets for Sam's Delight for 2 at 830pm.<U>Yes that is perfect!<A>Okay can I confirm this purchase?<U>Yes you may.<PN>book_tickets<PAN>name.movie<PAV>Sam's Delight<PAN>name.theater<PAV>Legacy Monument Family 12<PAN>num.tickets<PAV>2<PAN>time.showing<PAV>830pm<PAN>date.showing<PAV>tonight<PAN>seating<PAV>any	[A]Okay great, you are all set. Enjoy!	dlg-038f13fc-85a9-4b20-b837-9ed1e550c6ae
<U>I would like to get some movie tickets.	[A]Great, I can help with that! What movie are you interested in?	dlg-d986b69a-56de-4ad5-8386-88fc192fd71f
<PR>book_tickets<PRAN>status<PRAV>success<C><U>I'd love to see a good movie tonight!<A>Sure. What movie would you like to see?<U>Nothing specific on my mind. Can you tell me what is playing at Boulevard 14 Cinema in Petaluma, California?<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.<U>Hmm, Mulan sounds appealing. Could you tell me what it is about?<A>Sure. What specifically would you like to know?<U>Could you tell me the basic plot of the movie?<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>description.plot<PRAV>Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way<A>OK. Here’s the synopsis of Mulan: Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way.<U>Okay,cool. Thank you! What are the rating for Mulan?<PN>get_movie_attribute<PAN>attribute<PAV>review.audience<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>review.audience<PRAV>92%<PN>get_movie_attribute<PAN>attribute<PAV>review.critic<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>review.critic<PRAV>87% Rotten Tomatoes<A>Mulan has an 87% Rotten Tomatoes score and a 92% audience rating.<U>Sounds good, but I think I'd like to see No Time To Die instead.<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>Boulevard 14 Cinema<PR>find_showtimes<PRAN>time.showing<PRAV>4:00pm<PRAV>7:30pm<PRAV>10:55pm<A>OK. No Time To Die is playing 4:00pm, 7:30pm, and 10:55pm. Which time would you like?<U>10:55pm is perfect and it'll be just my friend and I.<A>All right. Let me confirm that you’d like two tickets for No Time To Die at Boulevard 14 Cinema tonight at 10:55pm. Is that all correct?<U>Yes, correct.<A>Is it OK to go ahead and purchase these tickets?<U>Go ahead.<PN>book_tickets<PAN>num.tickets<PAV>two<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>date.showing<PAV>tonight<PAN>time.showing<PAV>10:55pm	[A]OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	dlg-a2f0bc0c-0b20-4c0b-be86-c3951949c068
