<U>Okay now I remember it. It is the Black Panther. Could you check if it is playing anywhere?<C><U>Hi, which theater is playing that the movie with the warrior asian girl?<PN>resolve_movie<PAN>name.movie<PAV>the asian warrior girl movie<PR>resolve_movie<PRAN>name.movie<PRAV>Mulan<A>Happy to help! Let me just confirm that the movie you're talking about is Mulan. Is that right?<U>That’s right.<PN>find_theaters<PAN>name.movie<PAV>Mulan<PAN>location<PAV>Kansas City, KS<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. Mulan is playing at both AMC Mountain 16 and Cinemark Plaza 24 in Kansas City, KS.<U>I am also planning to watch another movie but I don't quite remember the name. I think it was supposed to be the first African superhero movie.<A>Let me check.<PN>resolve_movie<PAN>name.movie<PAV>the first African superhero movie<PR>resolve_movie<PRAN>name.movie<PRAV>Black Panther<A>I found some titles that might be what you're thinking of. The first is Long Way To Darkness. The second is Black Panther. Are either of those the one you want?	[A]Great let me check theaters.	dlg-6cd739a5-f730-4620-b9f7-ae7b9d4c03ff
<PR>find_showtimes<PRAN>time.showing<PRAV>7pm<PRAV>10pm<PRAV>12am<C><U>Get me movie ticket<A>of course. what movie?<U>Little Women<A>What theater?<U>The Globmax theater.<A>there are two in your area. Eighth street and applewod lane<U>8th street<PN>find_showtimes<PAN>name.movie<PAV>Little Women<PAN>name.theater<PAV>The Globmax<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any	[A]Showtimes are at pm 7pm 10pm and 12am	dlg-75bfb0ad-a41d-4cc4-997d-f532b570431b
<U>I would like the 7:30pm showing<C><U>movies I want to go to<A>Ok, what movies are they?<U>it is between backcountry and family jewels<A>What theater do you want?<U>I want cinemark downtown<A>what day do you want to go?<U>today<PN>get_movie_attribute<PAN>name.movie<PAV>backcountry<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>has a rating of 91<PN>get_movie_attribute<PAN>name.movie<PAV>family jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>has a 69<A>backcountry has a rating of 91 and family jewels has a 69<U>I think I'll do backcountry then<A>what time did you want for the movie?<U>probably the earliest showing<PN>find_showtimes<PAN>name.movie<PAV>backcountry<PAN>name.theater<PAV>cinemark downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>earliest showing<PR>find_showtimes<PRAN>time.showing<PRAV>4:10pm<PRAV>7:30pm<PRAV>10:15pm<A>the times available are 4:10pm, 7:30pm and 10:15pm	[A]how many tickets are needed?	dlg-dbddc9ca-4952-4e9f-9cc2-3d7900fdcbf6
<PR>find_movies<PRAN>name.movie<PRAV>Backcountry<PRAV>Beyond The Storm<C><U>Hello. I am interested in getting some movie tickets.<A>That is certainly something I can help with. Where are you located?<U>I live in Spring Hills, Kansas.<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PRAV>AMC Holiday Theater<A>I see you have a Cinemark Downtown and an AMC Holiday Theater. Is there one that you prefer over the other?<U>Cinemark Downtown is honestly the closest to home.<A>Okay. On what day would you like to go?<U>My girlfriend and I would like to go this evening.<A>So, that will be two tickets then, correct.<U>That is right.<A>Do you have a specific genre or movie in mind?<U>Just give me a synopsis of the movies playing at Cinemark Downtown.<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.theater<PAV>Cinemark Downtown	[PN]get_movie_attribute[PAN]name.movie[PAV]Backcountry[PAN]attribute[PAV]name.genre	dlg-e140cbc4-ccfa-47e9-9aee-49d90d9fe8d3
<U>Awesome, how much will that be?<C><U>Hello, I would like your assistance buying movie tickets.<A>Ok, no problem. What theater do you want to go to?<U>AMC Houston 8 in Houston TX.<A>Perfect, and what movie do you want to watch?<U>Ford v. Ferrari.<A>Alright, Ford v. Ferrari is playing at AMC Houston 8 at 10pm.<U>10pm won't work, it's too late. I need an 8 or 9PM show.<A>It's also playing at 6pm, does that work?<U>That's too early, I'm at work at that time.<A>Oh, too bad. Any other movie you are interested in?<U>Yes, how about Knives Out?<A>Knives Out is playing at AMC Houston 8 at 8:30PM.<U>Ok, that works. Let's book tickets to that show.<A>Ok, perfect. How many people will be attending?<U>My wife and I, just two tickets.<A>Ok, and do you have any preference for seating location?<U>As close as possible to the back of the theater and the center of the row please.<PN>book_tickets<PAN>name.movie<PAV>Knives Out<PAN>name.theater<PAV>AMC Houston 8<PAN>num.tickets<PAV>two<PAN>time.showing<PAV>8:30PM<PAN>date.showing<PAV>today<PR>book_tickets<PRAN>status<PRAV>success<A>Great, the last row is available and I've booked you the middle two seats.	[A]It's $12.50 per ticket so $25.00 total.	dlg-b77935b4-b1bf-481f-b27d-e69ed4cf9a4e
<U>I NEED MOVIE TICKET IN DAVIS CALIFORNIA	[A]No problem. Do you have a movie in mind?	dlg-d1b2d3a4-42ed-4ca6-89c3-477cee46dc4d
<U>I have never seen the lead actors in any movie before but I would like to take a risk and see it.<C><U>I was looking at a few movies showing at the cinemas and I would really like to see the photograph. what's your take on it?<A>It seem to be a good movie. it is a romance movie with many twist and turns	[PN]get_movie_attribute[PAN]name.movie[PAV]lovebirds[PAN]attribute[PAV]name.person	dlg-cf3873a3-b818-467c-aecd-702ff33c46b0
<U>that correct and thank for the help<C><U>the photograph is a great romantic drama that I would really like to see at the cinema<PN>get_movie_attribute<PAN>name.movie<PAV>the photograph<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>issa rae<A>it has a wonderful cast of actors including issa rae<U>she is a wonderful actress. please order some tickets for me.<A>sure. how many will be in your party for the showing?<U>there will be three of us including myself<A>what movie cinema would you like to see the movie?<U>the regal harrisburg and what are the times available?<PN>find_showtimes<PAN>name.movie<PAV>the photograph<PAN>name.theater<PAV>regal<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>7:20<PRAV>9:40pm<A>there are two showings one at 7:20 and the other at 9:40pm<U>order the tickets for the 7:20 showing<A>sure can and your viewing preference<U>what's available?<A>it will be shown in imax or hd<U>let that be hd<A>when will you be going?<U>order the tickets for tomorrow night's showing<A>ok. anything further you would like to add?<U>change the time to the 9:40 showing to accommodate my friend.<A>I will, so I am ordering tickets for the 9:40pm showing for the photograph at the regal harrisburg viewing in hd for tomorrow night's viewing for 3 persons	[PN]book_tickets[PAN]name.movie[PAV]the photograph[PAN]name.theater[PAV]regal[PAN]num.tickets[PAV]3[PAN]time.showing[PAV]9:40[PAN]date.showing[PAV]tomorrow[PAN]seating[PAV]any	dlg-12759743-d1c9-4f5a-85ce-32447ebf6acb
<U>Hi, please order me movie tickets.	[A]Ok, what show would you like to see?	dlg-2fc04b25-840c-48c4-8f3a-1788a10180cc
<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<C><S><A>Hello. How can I help you?<U>I am interested in see a movie this evening but I dont remember the exact name. It's the one where James Bond is recruited to rescue a kidnapped scientist.<PN>resolve_movie<PAN>name.movie<PAV>It's the one where James Bond is recruited to rescue a kidnapped scientist	[PN]find_movies[PAN]name.character[PAV]James Bond[PAN]location[PAV]nearby	dlg-203bfcb0-7376-4201-a88d-4d66404f4a6e
