<PR>find_movies<PRAN>name.movie<PRAV>Joker<PRAV>IT: Chapter Two<PRAV>Scary Stories to Tell in the Dark<C><U>I'd like to watch a movie.<A>Okay. What kind of movies do you like?<U>What are the most popular movies in theaters right now?<PN>find_movies<PAN>description.other<PAV>most popular movies<PAN>location<PAV>nearby	[A]What about Joker, IT: Chapter Two, or Scary Stories to Tell in the Dark?	dlg-469b2e33-73b6-4bd7-9695-f27a03ddd45c
<U>One near Rockville.<C><U>Hey Google, can you order me movie tickets?<A>Sure, which movie theater should I look for?	[A]Alright, a movie near Rockmill. Got it.	dlg-fa814eeb-f462-4b9a-81f2-3384f84c815e
<U>Which movie got better reviews, Backcountry or Shuddered?<C><U>Hey, can you book some movie tickets for me for tonight?<A>Absolutely, what city are you in currently?<U>I'm in Spring Hills, Kansas.<A>Got it, and what movie would you like to see?	[PN]get_movie_attribute[PAN]name.movie[PAV]Backcountry[PAN]attribute[PAV]review.critic	dlg-0996245a-d314-4bd2-8c5b-4b6b2c22dbf0
<PR>find_showtimes<PRAN>time.showing<PRAV>3pm<PRAV>5pm<PRAV>7pm<C><U>Is the movie Onward out?<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Onward<A>Yes, it is<U>What is the closest theater playing it?<PN>find_theaters<PAN>name.movie<PAV>Onward<PAN>location<PAV>closest<PR>find_theaters<PRAN>name.theater<PRAV>The AMC<A>The AMC is the closest theater.<U>Can you give me showtimes for the movie?<PN>find_showtimes<PAN>name.movie<PAV>Onward<PAN>name.theater<PAV>The AMC<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any	[A]Show times are 3pm, 5pm and 7pm	dlg-729a9248-d279-4ca0-825d-255875b31f8b
<U>oh yes thats right! Bad boys for life is correct<C><U>Hi I would like some help finding movies near me in Livermore, CA. I would like to start with information on the movie with the dog in the woods<PN>resolve_movie<PAN>name.movie<PAV>the movie with the dog in the woods<PR>resolve_movie<PRAN>name.movie<PRAV>The call of the wild<A>Happy to help! Let me just confirm that the movie you're talking about is The call of the wild. Is that right?<U>That’s right.<PN>find_theaters<PAN>name.movie<PAV>The call of the wild<PAN>location<PAV>livermore, CA<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. The call of the wild is playing at both AMC Mountain 16 and Cinemark Plaza 24 in livermore, CA.<U>Im not sure I recollect, but it was the cool cops movie<A>Let me check.<PN>resolve_movie<PAN>name.movie<PAV>the cool cops movie<PR>resolve_movie<PRAN>name.movie<PRAV>Bad boys for life<A>I found some titles that might be what you're thinking of. The first is Long Way To Darkness. The second is Bad boys for life. Are either of those the one you want?	[A]Great let me check theaters.	dlg-de378366-353c-4d71-89be-accf8ced9932
<U>4<C><U>I want to see a movie<A>where would you like to see it?<U>In Vacaville at the Brenden Theater<A>Which movie?<U>Bad Boys in IMAX<A>Bad Boys isn't playing in IMAX<U>Fine than in standard<PN>find_showtimes<PAN>name.movie<PAV>Bad Boys<PAN>name.theater<PAV>Brenden Theater<PAN>date.showing<PAV>today<PAN>type.screening<PAV>standard<PR>find_showtimes<PRAN>time.showing<PRAV>4:15<PRAV>7:20<A>Bad Boys plays at 4:15 and 7:20<U>I'll take the 4:15 showing<A>How many tickets?	[A]Where would you like to sit?	dlg-1189e685-b65f-486b-b459-adc3cc5fe4a2
<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<C><U>I need to purchase 3 movie tickets.<A>For tonight?<U>No, for tomorrow.<A>Ok. What movie would you like the tickets for?<U>Either Shuttered, or Beyond the Storm. What is each one rated?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie	[PN]get_movie_attribute[PAN]name.movie[PAV]Beyond the Storm[PAN]attribute[PAV]rating.movie	dlg-49980b20-4fcb-4644-a68f-cef40005a9f4
<U>Yes thanks<C><U>I want to buy movie tickets for tonight.<A>OK. And where will you be seeing the movie?<U>In Creek’s End Oregon.<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>I want a kid friendly movie... what about Mulan?<PN>find_theaters<PAN>name.movie<PAV>Mulan<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>Sure. Disney seems like a great choice. In Creek’s End, Oregon, I see that Mulan is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>I’d definitely like the AMC Mercado 24 since it’s closer to me.<PN>find_showtimes<PAN>name.movie<PAV>Mulan<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>No problem. It looks like tonight’s remaining showtimes for Mulan at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?<U>5 is great.<A>Great. And how many tickets?<U>I need 3 tickets, two kids tickets and one adult.<A>All right. Let me confirm that you’d like three tickets for Mulan at AMC Mercado 24 tonight at 5:00pm. Is that all correct?	[A]Is it OK to go ahead and purchase these tickets?	dlg-ebd51df2-f149-4d05-8e48-c1db55c5ccc4
<PR>find_showtimes<PRAN>time.showing<PRAV>3:00pm<PRAV>5:45<PRAV>9:00pm<C><U>Hi, Im looking to purchase movie tickets.<A>Excellent, have you decided on one.<U>Not yet. Can you help me choose<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Backcountry<PRAV>shuttered<A>Well I would recommend either shutter or Backcountry.<U>Can you give me the synopsis of each to help me decide?<PN>get_movie_attribute<PAN>name.movie<PAV>shutter<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>about a woman who goes to work on a haunted marijuana farm<A>Sure. Shutter is about a woman who goes to work on a haunted marijuana farm.<U>Haha ok. what about the other.<A>Well Backcountry is all about Yosemite Nature trail.<U>Hmm, lets go with shutter, I want a good horror movie.<A>Great. How many tickets will you need?<U>Three please.<A>What day would you like to see it?<U>Friday.<PN>find_showtimes<PAN>name.movie<PAV>shuttered<PAN>date.showing<PAV>Friday<PAN>time.preference<PAV>any	[A]3:00pm - 5:45 - 9:00pm are the show times for shuttered.	dlg-29aea51f-849b-414e-8ab1-4d4bfe5e2304
<U>Can you tell me more about Mulan, i don't know much about it.<C><U>I will be going for a movie tonight.<A>Sure. What movie would you like to see?<U>What will be playing at Boulevard 14 cinema in Petaluma, California<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.	[A]Sure. What specifically would you like to know?	dlg-3ce50d2b-7e9d-4d92-8b8d-16c1452b481b
<U>I like to go 9.10pm<C><U>I like to go movie at night and buy tickets in AMC Mountain 16.<A>No problem. Is there a particular type of movie you’re looking for?<U>Action<A>Sure. I can help with that. Let me check listings at AMC Mercado 24.<U>i wanted AMC Mountain 16.<A>Oh, sorry about that. So you’re interested in action films at AMC Mountain 16, right?<U>yes .correct.<PN>find_movies<PAN>name.genre<PAV>action<PAN>name.theater<PAV>AMC Mountain 16<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<A>OK. I see one action movie playing at AMC Mountain 16: No Time To Die. Remaining showtimes are 4:30pm, 6:40pm and 9:10pm. Does any of those work?	[A]Great. And how many tickets?	dlg-35959ebf-9d2e-4696-99c0-0dbff71e1e42
"<U>Oh, the 730pm is perfect. How long does it take to drive there, and is parking free? I mean around 7pm<C><U>Is ""Parasite"" playing in Lakeview area tonight?<A>""Parasite"" is at 1 theater, do you want the times and location?<U>Just the times<PN>find_showtimes<PAN>name.movie<PAV>""Parasite""<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>tonight<PR>find_showtimes<PRAN>time.showing<PRAV>645pm<PRAV>915pm<A>645pm and 915pm<U>Can you list times for the Bell theater? I know's there, too<PN>find_showtimes<PAN>name.movie<PAV>""Parasite""<PAN>name.theater<PAV>Bell<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>tonight<PR>find_showtimes<PRAN>time.showing<PRAV>5pm<PRAV>730pm<PRAV>10pm<A>It's playing at 5pm, 730pm and 10pm"	[A]It would take about 16 minutes and parking is free with a movie ticket proof, for 4 hours.	dlg-c83f6d25-335d-43de-b14a-77439a1d7dae
<PR>resolve_movie<PRAN>name.movie<PRAV>_empty_<C><U>Hi, I need some movie tickets for tonight in Burbank, Ca.<PN>resolve_movie<PAN>name.movie<PAV>That Vin Diesal movie<PR>resolve_movie<PRAN>name.movie<PRAV>Fast and Furious<A>Happy to help! Let me just confirm that the movie you're talking about is Fast and Furious. Is that right?<U>That’s right.<PN>find_theaters<PAN>name.movie<PAV>Fast and Furious<PAN>location<PAV>Burbank Ca.<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. Fast and Furious is playing at both AMC Mountain 16 and Cinemark Plaza 24 in Burbank Ca..<U>What's the name of that Harley Quinn movie?<A>Let me check.<PN>resolve_movie<PAN>name.movie<PAV>that Harley Quinn movie<PR>resolve_movie<PRAN>name.movie<PRAV>Birds of Prey<A>I found some titles that might be what you're thinking of. The first is Long Way To Darkness. The second is Birds of Prey. Are either of those the one you want?<U>Oh right, Birds of Prey! now I remember.<A>Great let me check theaters.<U>OK.<PN>find_theaters<PAN>name.movie<PAV>Birds of Prey<PAN>location<PAV>Burbank Ca.<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<A>I looks like Birds of Prey is only playing at AMC Mountain 16.<U>How about the Hedgehog movie? Is that playing?<A>The hedgehog movie. Let me see what I can find.<PN>resolve_movie<PAN>name.movie<PAV>The hedgehog movie	[A]Unfortunately I cannot find any movie title that matches your description.	dlg-67c2053d-4cdb-4ac2-88ad-659678076901
<U>I want to see the Newest Action movie with Bond.<C><S><A>Hello. How can I help you?	[PN]resolve_movie[PAN]name.movie[PAV]movie with Bond	dlg-4e99046b-33fa-4915-878a-2c68cf9b2dab
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<C><U>Hi, I'm looking for some information about that new Robert Downey Jr. film. I want to see if it's playing here in Brooklyn, Ny.<PN>resolve_movie<PAN>name.movie<PAV>The Robert Downey Jr. film.<PR>resolve_movie<PRAN>name.movie<PRAV>Dolittle<A>Happy to help! Let me just confirm that the movie you're talking about is Dolittle. Is that right?<U>That’s right.<PN>find_theaters<PAN>name.movie<PAV>Dolittle<PAN>location<PAV>Brooklyn, NY	[A]OK. Dolittle is playing at both AMC Mountain 16 and Cinemark Plaza 24 in Brooklyn, NY.	dlg-28306f12-ffc5-4897-8357-840d8f2777cf
<U>OK.<C><U>I was thinking of getting tickets tonight to see a movie at AMC Mountain 16.<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?<U>It's in Santa Barbara, California<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>OK. And are you interested in AMC Mountain 16 or AMC Mercado 24?<U>Like I already said, AMC Mountain 16<A>Sorry for the trouble but I wanted to make sure I have it right.	[A]Is there a particular movie you’re looking for?	dlg-ed2312d5-cfbc-47ee-8a9c-468ae77dd8d4
<U>That's it!<C><S><A>Hello. How can I help you?<U>I want to see the new, popular action movie.<PN>find_movies<PAN>name.genre<PAV>action<PAN>description.other<PAV>new, popular<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?	[A]OK. Would you mind giving me the city and state where you’d like to see your movie?	dlg-ac192474-9ab9-4c73-8cbb-710ef61bf890
<PR>find_showtimes<PRAN>time.showing<PRAV>3:00pm<PRAV>5:10pm<PRAV>7:30pm<PRAV>9:40pm<C><U>Hello, I need assistance please.<A>What can I do for you?<U>I would like to watch a movie today.<A>Any particular movie you want to see?<U>I am debating on No Time To Die OR Mulan.<A>Where did you want to watch the show?<U>Mountain AMC 16 will be good.<PN>find_showtimes<PAN>name.movie<PAV>Mulan<PAN>name.theater<PAV>Mountain AMC 16<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>6:10pm<PRAV>4:00pm<PRAV>8:30pm<PRAV>10:40pm<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>Mountain AMC 16<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any	[A]Showtimes for Mulan are 4:00pm 6:10pm 8:30pm 10:40pmShowtimes for No Time To Die are 3:00pm 5:10pm 7:30pm 9:40pm.	dlg-f1c46510-2891-4c57-a38f-0c11b78237e9
<U>Hi. I am wanting to watch a movie today. Can you tell me if there are any comedies playing?	[PN]find_movies[PAN]name.genre[PAV]comedies[PAN]location[PAV]nearby	dlg-821a25c1-aa0e-4f00-94cc-a3b8ad55cd11
<PR>find_movies<PRAN>name.movie<PRAV>Beyond the Storm<C><U>Hello, I'd like some help getting some movie tickets please.<A>Of course, happy to help. Where are you located please?<U>I'm in Flagstaff, Arizona.<A>Thank you. Do you know what kind of movie you'd like to see today?<U>I'm open to anything, but I really like horror movies and action movies the most. Is there anything you recommend?<PN>find_movies<PAN>location<PAV>Flagstaff, Arizona<PAN>name.genre<PAV>horror<PR>find_movies<PRAN>name.movie<PRAV>Shuttered<PN>find_movies<PAN>location<PAV>Flagstaff, Arizona<PAN>name.genre<PAV>action	[PN]get_movie_attribute[PAN]name.movie[PAV]Beyond the Storm[PAN]attribute[PAV]name.genre	dlg-a7aa940a-b3fb-4583-86fe-f4a4d23f03c4
<U>How about that movie with Shia LaBeouf, where he's helping a mentally challenged boy reach his dream of becoming a wrestler.<C><U>Hey, I'm in Safford Arizona and I'm looking for some information about the movie. I can't remember the name, but it had that Sprouse twin, and he falls in love with someone that they can't get close to because of some disease that they have.<PN>resolve_movie<PAN>name.movie<PAV>It's that movie that had the Sprouse twin in it, he falls in love with someone that they can't get close to because of some kind of disease.<PR>resolve_movie<PRAN>name.movie<PRAV>5 feet apart<A>Happy to help! Let me just confirm that the movie you're talking about is 5 feet apart. Is that right?<U>That’s right.<PN>find_theaters<PAN>name.movie<PAV>5 feet apart<PAN>location<PAV>Safford, Arizona.<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. 5 feet apart is playing at both AMC Mountain 16 and Cinemark Plaza 24 in Safford, Arizona..<U>Do you have any information about the movie where the kid turns into a superhero. I think it's a DC movie.<A>Let me check.<PN>resolve_movie<PAN>name.movie<PAV>That DC movie where the kid turns into a superhero.<PR>resolve_movie<PRAN>name.movie<PRAV>Shazam<A>I found some titles that might be what you're thinking of. The first is Long Way To Darkness. The second is Shazam. Are either of those the one you want?<U>Now I remember, I'm pretty sure it's Shazam.<A>Great let me check theaters.<U>OK.<PN>find_theaters<PAN>name.movie<PAV>Shazam<PAN>location<PAV>Safford, Arizona.<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<A>I looks like Shazam is only playing at AMC Mountain 16.	[A]It has Shia LaBeouf, and he is helping a mentally challenged boy reach his dream of becoming a wrestler.. Let me see what I can find.[PN]resolve_movie[PAN]name.movie[PAV]It has Shia LaBeouf, and he is helping a mentally challenged boy reach his dream of becoming a wrestler.	dlg-a2f51a57-4d8c-43b7-8f51-f78f00febf7d
<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<C><U>i want a ticket?<A>How many tickets do you want?<U>which films are running there?<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie	[PN]get_movie_attribute[PAN]name.movie[PAV]Not My Problem[PAN]attribute[PAV]review.critic	dlg-fb9e1504-4b8f-4254-86e9-e39c80279380
<PR>get_movie_attribute<PRAN>name.genre<PRAV>western<C><U>Hello. I would like to purchase tickets for a movie.<A>Of course. What movie?<U>I don't know. What's playing?<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Indulgent<PRAV>Beholden<PRAV>King Johnny<PRAV>Five Ways to Wacky<A>Indulgent, Beholden, King Johnny, and Five Ways to Wacky.<U>Oh okay. What kind of movies are they and what are they rated?<PN>get_movie_attribute<PAN>name.movie<PAV>Indulgent<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>suspenseful<PN>get_movie_attribute<PAN>name.movie<PAV>Indulgent<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<PN>get_movie_attribute<PAN>name.movie<PAV>Beholden<PAN>attribute<PAV>name.genre	[PN]get_movie_attribute[PAN]name.movie[PAV]Beholden[PAN]attribute[PAV]rating.movie	dlg-28557efa-7633-42e8-9d95-67976363b17c
