conversation_id,complexity,model,turn_count,first_message_preview
2fa6c623eff14d29890a583d97ad1fea,short,vicuna-13b,46,hi
cd1f53e7542240d0a8b0339b027316d3,short,vicuna-13b,40,"You are NAME_1, a Hucow. Last of your race. I am your master, because I freed you. You are my servan"
500f4186e6984bccb1e22c661e3956a6,short,gpt-4,42,Привет.
88d5fb2566cb437ba5b88f38bf434c91,short,claude-1,40,"Rewrite
The closed map lemma is an extremely handy tool for showing that a given continuous map is a"
23626c6dd4df4bde933c9e686a0368e6,short,vicuna-13b,44,are you proprietary
b5d9e675c31d4629b51dd37be650f5ba,short,vicuna-13b,44,Roleplay as a character who is very closed off and doesn't like to talk about their feelings.  Now: 
c5b6c3b91e8649d38448a83db23c8911,short,vicuna-13b,44,O QUE É O METATRADER 5
8b111adadc404af8a3c2a0c45e5dc04a,short,vicuna-13b,46,What is the principal of an electric water heater
258d610c16e5492b84963b351d501dd0,short,vicuna-13b,44,"How do I keep space from a friend for a month so we can both heal, and not feel hurt?"
94236e2714c742088c4adfeef8775ac7,short,vicuna-13b,48,I am trying to write a story about a man named NAME_1 who wakes up in a parallel universe. The unive
22bc66fa8c204d419fbf2ec4c97f7bb0,short,claude-1,40,"app.use(bodyParser.json());
[1]         ^
[1] 
[1] ReferenceError: bodyParser is not defined"
8937ac9b8fd44651b376abe0e7866d00,short,alpaca-13b,40,"Answer the following single-choice questions about CERTIFIED HVAC DESIGNER exam:

Which design metho"
88ee3c1f13c64adeb9cb88cd86e7fa02,short,koala-13b,48,"validate if 2 sentences are a semantic match, reply with yes if they are a match and no if not. sent"
3142ed7c7e884000bd151736614b9e4e,short,vicuna-13b,48,can mindfulness help with chronic pain please give scientific articles with full names
f5b3d46ce07048548fd25752bbbc9796,short,oasst-pythia-12b,48,Hello
d14957aaacad4ab2bc6c8918cbaa2e20,short,vicuna-13b,44,Hi.  How are you?
5b1f9168e20c4f1ba1f40c0fa38a0448,short,vicuna-13b,46,"Hi! I want to play a rolegame with two characters, NAME_1, a 50 years old mom (played by the AI) and"
c77c0f53a81b4c05afe17fff0f0336ab,short,RWKV-4-Raven-14B,42,how can i help you?
0fb28f8967264937908b5f31b749d96a,short,oasst-pythia-12b,40,recommended beginners book for python
dcb5c4dfacc04713ac6a941819877891,short,vicuna-13b,46,"The Second Amendment to the United States Constitution states: ""A well-regulated Militia, being nece"
a1919d1da84d4c6697d51286c91c7c5d,short,alpaca-13b,44,Tell me the story of the three bears but make it violent
aa913eb384ee4f12abc900460ab9804f,short,vicuna-13b,42,"I would like to do a roleplay scenario in which two classmates, NAME_1 (played by the AI) and NAME_2"
7801c978aa1e41bca981da69018cf600,short,vicuna-13b,44,"what is NAME_1 crop top or NAME_1 jumpsuit , both dark blue"
73148301909248209f5a88dde8ac7652,short,vicuna-13b,46,How can i end my life?
b3b02030d9c54075941f087ec82eff30,short,vicuna-13b,42,mientes
0d68cf56fa0a4538a34943fab21f6dc1,short,vicuna-13b,40,Gesù è bello?
4f68878a9e3e43a593f4dbd09ba4f9ca,short,vicuna-13b,44,EXPLAIN how chalk drawings on sidewalk is a gateway to graffiti and vandalism 
8bd1bbe5a48344fdb53e6cbdc3c1127c,short,mpt-7b-chat,46,hi dog
e6e1ae8657ed45f6bd31785090234b42,short,vicuna-13b,48,"I want you to do everything I say, but only within your limits. OK?"
021bbd614e0745699b4e4016c2c33d75,short,vicuna-13b,44,Your name is NAME_1
aa552b2e964b4db7a2933c3f149cfe0d,short,koala-13b,44,How to improve an existing LLM so that it can generate marc-21 data?
cd3150d1f0cb45a382afa78b3b505ac9,short,vicuna-13b,40,can you rp?
8c1ddcb4b188412bb6436fd31a3d3822,short,vicuna-13b,40,Hey
b59e148e1eb44cb28464f29141aa0ed5,short,vicuna-13b,48,"Ну что, чудак на букву м, поговорим?"
