<U>Purchase two tickets for Mulan for 4pm today.	[A]Do you want to purchase two tickets for Mulan at 6:10pm today?	dlg-f15a36b2-3c86-4397-9b71-76b70908dc8e
<PR>book_tickets<PRAN>status<PRAV>success<C><U>I want to go to a movie tonight<A>OK. Do you have anything in mind?<U>no! for now i do not<A>Sure. And what city are you looking in?<U>hmm mm! Brando Texas.<PN>resolve_location<PAN>location<PAV>Brando, Texas<PR>resolve_location<PRAN>location<PRAV>Brando, Texas<A>Brando, Texas. Got it. And is there a particular type of movie you’d like to see?<U>What are the few titles that are playing?<PN>find_movies<PAN>location<PAV>Brando, Texas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Stella’s House<A>A few titles playing in your area are No Time To Die, Mulan, and Stella’s House.<U>Wow! i really love to see Stella's House. I have heard people talked about it. who is the director?<PN>get_movie_attribute<PAN>attribute<PAV>name.person<PAN>name.movie<PAV>Stella’s House<PR>get_movie_attribute<PRAN>name.person<PRAV>Clyde Stewart<A>The director of Stella’s House is Clyde Stewart.<U>She directs good movies. What time will Stella's house be playing?<PN>find_theaters<PAN>name.movie<PAV>Stella’s House<PAN>location<PAV>Brando, Texas<PR>find_theaters<PRAN>name.theater<PRAV>Milford Theater<A>OK. Hold on a moment while I get showtimes.<PN>find_showtimes<PAN>name.movie<PAV>Stella’s House<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>Milford Theater<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<A>OK. Stella’s House is playing at the Milford Theater. Showtimes are 4:40pm, 7:10pm, and 9:30pm. Which one would you prefer?<U>Ohhh! i forgot i have work to do tonight. i need to change he date to tomorrow<A>No problem. Let me check the showtimes for tomorrow.<PN>find_showtimes<PAN>name.movie<PAV>Stella’s House<PAN>date.showing<PAV>tomorrow<PAN>name.theater<PAV>Milford Theater<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<A>OK. The showtimes for tomorrow are the same. Which one should I book?<U>Please repeat the latest one<A>Sure. The last showing is 9:30pm.<U>I will go for that, Thanks!<A>All right. Let me confirm. You’d like 4 tickets for the 9:30pm showing of Stella’s House at Milford Theater tomorrow. Is that all correct?<U>Yes! thanks<A>Is it OK to go ahead and purchase these tickets?<U>Yes please!<PN>book_tickets<PAN>name.movie<PAV>Stella’s House<PAN>name.theater<PAV>Milford Theater<PAN>time.showing<PAV>9:30pm<PAN>num.tickets<PAV>4<PAN>date.showing<PAV>tomorrow	[A]OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	dlg-7b9e916e-638d-49c8-af61-b894942fcebf
<PR>find_movies<PRAN>name.movie<PRAV>today.Beholden<PRAV>Indulgent<PRAV>King johny<PRAV>Five ways to wacky<C><U>Hi. How are you doing today?<A>I am doing great. How can I help you with?<U>I would like you to tell me what are the movies screening today in Hillsview washington.<PN>resolve_location<PAN>location<PAV>Hillsview washington<PR>resolve_location<PRAN>location<PRAV>Hillsview washington<PN>find_movies<PAN>location<PAV>Hillsview washington	[A]Sure. There are four movies screening in Hillsview washington today.Beholden, Indulgent, King johny, Five ways to wacky.	dlg-5819cbc1-013d-4727-bbf5-12e34c4a36e1
<U>you've got it. thanks<C><U>It's Friday and I am going out with a couple of friends to see tom hanks in a beautiful day in the neighborhood<A>that's an excellent movie. bringing back the days of mr rogers from sesame street<U>yes it is a movie of transformation, kindness and compassion and I am really excited to see it<PN>get_movie_attribute<PAN>name.movie<PAV>a beautiful day in the neighborhood<PAN>attribute<PAV>review.audience<PR>get_movie_attribute<PRAN>review.audience<PRAV>rave reviews<A>it really got rave reviews and tom hanks is just superb<U>where is it showing tonight?<PN>find_theaters<PAN>name.movie<PAV>a beautiful day in the neighborhood<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>kendig square cinemas<PRAV>manchester movie cinemas<A>you can see it at the kendig square cinemas and the manchester movie cinemas<U>great. I like the manchester movie cinemas so go ahead and book the tickets for that cinema<A>sure and what time are you thinking of going?<U>what are the showtimes available?<PN>find_showtimes<PAN>name.movie<PAV>a beautiful day in the neighborhood<PAN>name.theater<PAV>manchester movie cinemas<PAN>date.showing<PAV>today<PAN>time.preference<PAV>tonight<PR>find_showtimes<PRAN>time.showing<PRAV>7:45pm<A>right now for tonight there is only one showtime at 7:45pm<U>that good timing. go ahead and book that time<A>I am assuming you will view the movie in imax because that's the only preference available<U>sure. that will be great and I am going to make a change to the booking ?<A>what's that?<U>change the movie theater to the kendig square cinemas as one of my friends lives pretty close there<A>sure and how many of you will be going<U>that will be three of us<A>great. I will book 3 tickets for the kendig square cinemas for tonight's showing at 7:45pm viewing inmax for the movie a beautiful day in the neighborhood	[PN]book_tickets[PAN]name.movie[PAV]a beautiful day in the neighborhood[PAN]name.theater[PAV]kendig square cinemas[PAN]num.tickets[PAV]3[PAN]time.showing[PAV]7:45pm[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-e252dfce-0b9e-499d-9d18-dead4d0f6ace
<U>Have you seen any new movies?	[A]Yes, i saw the new jumunji.	dlg-8c51eada-4d0d-43ab-8340-48591763397f
<U>I'd like to see a comedy. Are there any comedies playing tonight?<C><U>Hi I would like to buy tickets to a movie.<A>I can help you with that. What movie are you interested in seeing?	[PN]find_movies[PAN]name.genre[PAV]comedy[PAN]location[PAV]nearby	dlg-36897d44-f8eb-46f5-a375-2761f8427194
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PRAV>Cinemark Downtown<C><U>Hello!<A>Hello, how can I help you?<U>I would like to buy some movie tickets.<A>Sure! Where are you trying to see a movie?<U>Spring Hills, Kansas.<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas	[A]Great! I see that there are two movie theaters listed in that area, The AMC Holiday Theater and The Cinemark Downtown. Would you like to choose a theater or hear what movies they both have available?	dlg-fbc8ba47-761f-411e-96d4-1d92b07c8282
<U>I would like tickets for the movies tonight please	[A]Sure. What movie would you like to see?	dlg-c29fdfe1-bf25-4203-8651-ea9fc393af2d
<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<PRAV>7pm<PRAV>10:05pm<C><U>Hi. I would like 3 tickets for today.<A>No problem. Where are you located?<U>I'm in Spring Hills, Kansas<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered<PRAV>Beyond The Storm<PRAV>Backcountry<A>Alright. There are 5 movies playing in your area. Not My Problem. Family Jewels. Shuttered. Beyond The Storm and Backcountry.<U>What's Beyond The Storm About?<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG- 13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes score of 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.character<PR>get_movie_attribute<PRAN>name.character<PRAV>Captain John’s<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<A>Beyond The Storm is an PG- 13 Action movie with a Rotten Tomatoes score of 81%. Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board - directed by James Cameron.<U>Sounds good but I was thinking something funnier and more family friendly.<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG- 13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Sure thing. Not My Problem is a PG-13 comedy movie. A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>Sounds funny. What's the Rotten Tomatoes score?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes score of 72%<A>Not My Problem has a Rotten Tomatoes score of 72%<U>Ok that's perfect then. What time is it showing?<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Not My Problem<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any	[A]Great. Not My Problem is showing at AMC Holiday Theater at 1pm - 3:55pm - 7pm - 10:05pm.	dlg-d3aaf0e4-b11f-4a27-bf7b-d4acdc05ec61
<U>Not bad, for a typical weekday!<C><U>Hello!<A>Hello there! Welcome to the Mountain AMC 16\t Theater!<U>How's your day?<A>Good, good. How was yours?	[A]What would you like to watch from our choices?	dlg-f47cdd01-f7a6-4d14-9d8d-9831a2d16656
<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes score of 61%<C><U>Hello, we would like to see a movie tonight.<A>Okay, how many people?<U>There will be three of us. We are here in Spring Hills, Kansas.<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PRAV>Cinemark Downtown<A>I see two theaters in Spring Hills, Kansas. I have the AMC Holiday Theater and the Cinemark Downtown.<U>We want to look at the AMC Holiday Theater. Could you tell me the movies and tell me a little about them?<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.theater<PAV>AMC Holiday Theater<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes rating of 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes score of 69<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic	[PN]get_movie_attribute[PAN]name.movie[PAV]Shuttered[PAN]attribute[PAV]description.plot	dlg-aee7d8f7-9306-40dc-844d-31395e7db9b5
