<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<C><U>hey there, I need some movie tickets.<A>I can help with that, what movie?<U>Whatever is new, something exciting like action or scary, anything like that showing?<A>I can check it out! What is your location?<U>I am in the Spring Hills Kansas area.<PN>find_movies<PAN>description.other<PAV>new, something exciting<PAN>location<PAV>Spring Hills Kansas<PR>find_movies<PRAN>name.movie<PRAV>Shuttered<PRAV>Beyond The Storm<A>Ok, I found Shuttered and Beyond The Storm.<U>ok, can I get some details?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 61%<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.person	[A]Sure, Shuttered - Horror - rated R - Rotten Tomatoes 61% - Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm. An then Beyond The Storm - Action - rated PG-13 - Rotten Tomatoes 81% - Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board - directed by James Cameron.	dlg-dab573e7-61dd-4a5b-ab66-286f1aa14fa3
<U>Let's go with the 3pm showing at Willow Creek<C><U>I'm thinking about seeing a movie with a friend.<A>Would you like assistance in booking movie tickets?<U>Yes please<A>Which movie would you like to see?<U>I want to see Little Women<A>Which theatre do you want to go to?<U>Either West End or Willow Creek. I need an afternoon showing.<PN>find_showtimes<PAN>name.movie<PAV>Little Women<PAN>name.theater<PAV>West End<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1:30<PRAV>3pm<PRAV>5pm<PN>find_showtimes<PAN>name.movie<PAV>Little Women<PAN>name.theater<PAV>Willow Creek<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1:30<PRAV>3pm<PRAV>5pm<A>Both West End and Willow Creek are showing Little Women, there are showings at 1:30, 3pm, and 5pm at both theatres.	[A]So you want to see Little Women at Willow Creek at 3pm?	dlg-9da50e50-e4a8-427e-b5b9-7ffc5ea4bf32
<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<C><U>I am here in Spring Hills Kansas and want to see what movie theaters are around here?<PN>find_theaters<PAN>location<PAV>Spring Hills Kansas<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown Theater<PRAV>AMC Holiday Theater<A>Ok, no problem! Cinemark Downtown Theater and AMC Holiday Theater which are both close to you.<U>Great, now, what movies are showing?<PN>find_movies<PAN>location<PAV>Spring Hills Kansas<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered<PRAV>Beyond The Storm<PRAV>Backcountry<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre	[PN]get_movie_attribute[PAN]name.movie[PAV]Shuttered[PAN]attribute[PAV]name.genre	dlg-23513712-75ce-4af8-a2e8-9c59f86d8ad7
<U>yeah,perfect.<C><U>i want to see movie at the theater tonight.<A>OK. And where will you be seeing the movie?<U>i am expecting near my area.<A>OK. Can you give me the city and state?<U>oh yes.it is greek;s End ,Oregon.<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>yeah, i like to watch movie named 'james Bond'<A>Ok. I think you are talking about No Time To Die. Does that sound right?<U>yeah.that it is,i was thinking to watch.<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I think action movies are always a great choice. In Creek’s End, Oregon, I see that No Time To Die is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>i want to watch the last one you say.<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>OK, AMC Mercado 24 it is.<U>yes.Then what times are available to watch the movie?<A>It looks like tonight’s remaining showtimes for No Time To Die at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?<U>i would like to choose the earliest one is best.<A>OK, so you'd like 5:00pm. And how many tickets?<U>me and two others peoples are coming.<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mercado 24 tonight at 5:00pm. Is that all correct?	[A]Is it OK to go ahead and purchase these tickets?	dlg-d79c53e5-022b-4a39-8701-6b73f9b5d33d
<U>I've heard about No Time To Die, but not Emma. What is Emma about?<C><U>I'm thinking about going out to the movies tonight.<A>Sure. What movie would you like to see?<U>I haven't made up my mind yet, what is playing near me currently?<A>No problem. Can you tell me what city you’re in?<U>Sure, I'm in Oak Valley, Arkansas.<PN>find_movies<PAN>location<PAV>Oak Valley, Arkansas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Emma<A>Ok. There are a couple of popular films out in your area: No Time To Die and Emma. Do either of those sound interesting?	[PN]get_movie_attribute[PAN]attribute[PAV]description.plot[PAN]name.movie[PAV]Emma	dlg-71282a92-a64a-4d72-9b48-8949a4cbdfbc
<U>About 08:00 pm please.<C><U>Hi, I'm looking to see a movie tonight.<A>Great, you're in the right place. What type of movie are you interested in?<U>I'm wanting and longing to see sonic the hedgehog.<A>Oh, splendid, what time would you like to see this movie?	[A]Great, I'll check and see what's available, but can i have you location or you preferred theater?	dlg-d22de5ec-9449-42ad-86de-71bee45d2d3d
<U>Ok, that's all.<C><U>Can you tell me what movies are playing nearby?<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Little Women<PRAV>21 Bridges<PRAV>Jumanji<A>Little Women, 21 Bridges, and Jumanji are currently playing.<U>Give me the runtime for Little Women.<PN>get_movie_attribute<PAN>name.movie<PAV>Little Women<PAN>attribute<PAV>duration.movie<PR>get_movie_attribute<PRAN>duration.movie<PRAV>2 hours, 15 minutes<A>Little Women's runtime is 2 hours, 15 minutes<U>What movie theaters nearby is playing Little Women?<PN>find_theaters<PAN>location<PAV>nearby<PAN>name.movie<PAV>Little Women<PR>find_theaters<PRAN>name.theater<PRAV>The AMC River East 21<PRAV>Chatham 14<A>The AMC River East 21 Theater and the Chatham 14 Theater are playing Little Women.<U>Ok, book me two tickets for Little Women at the AMC River East 21 Theater.<A>Ok, and what screening do you want?<U>What are the options?<A>There's standard and IMAX.<U>Get me IMAX.<A>Ok, that's 2 tickets for the IMAX screening for Little Women at the AMC River East 21 Theater, correct?<U>Yes, Oh, by the way, what's the start time?<PN>find_showtimes<PAN>name.movie<PAV>Little Women<PAN>name.theater<PAV>The AMC River East 21<PAN>type.screening<PAV>IMAX<PAN>date.showing<PAV>today<PR>find_showtimes<PRAN>time.showing<PRAV>9:00 PM<A>The next start time for Little women at the AMC River East 21 Theater is 9:00 PM.<U>Man, that's too late for me. What's the start time for Little Women at the Chatham 14 Theater?<PN>find_showtimes<PAN>name.movie<PAV>Little Women<PAN>name.theater<PAV>Chatham 14<PAN>date.showing<PAV>today<PAN>type.screening<PAV>IMAX<PR>find_showtimes<PRAN>time.showing<PRAV>7:40 PM<A>The next start time for Little Women at the Chatham 14 Theater is 7:40 PM.<U>Ok, switch my booking from AMC River East 21 Theater to the Chatham 14 Theater.<A>Ok, that's 2 tickets for the IMAX showing for Little Women at the Chatham 14 Theater, with a start time of 7:40 PM. Is that correct?<U>Yes.<A>The total cost comes to $33.21. Is that fine?<U>Yes.<A>Processing order...Your booking for 2 tickets for the IMAX screening for Little Women at the Chatham 14 Theater, with a start time of 7:40 PM, has been confirmed. Please check your e-mail for your receipt.	[PN]book_tickets[PAN]name.movie[PAV]Little Women[PAN]name.theater[PAV]Chatham 14[PAN]num.tickets[PAV]2[PAN]time.showing[PAV]7:40 PM[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-520b5f64-38c9-4f1b-8275-25b23e19d1d9
<U>Okay great. The other film I'm not sure of the title but I do know it stars Matt Damon. It's one of his new films.<C><U>Hi, I'd like some help with a couple of film titles.<A>Sure, what do you need?<U>I am looking for a title for one of the films and I'm also looking for critic scores for both films.<A>Alright, I can help with that. What are the titles of the films?<U>Well, one I don't know the name of, but the other one is called Shuttered.<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>critic score of 61%<A>Okay, Let's get Shuttered out of the way first. That film has a critic score of 61%.	[PN]find_movies[PAN]name.person[PAV]Matt Damon[PAN]description.other[PAV]his new films[PAN]location[PAV]nearby	dlg-9e0f9527-2c20-4425-8be4-391b81050087
<U>Wait, there are no showings in Davis California?<C><U>I want to buy tickets for a movie showing in Davis, California<A>No problem. Do you have a movie in mind?<U>I'd like to see No Time to Die<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Davis, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mercado 24<A>It looks like the nearest theater playing No Time To Die is at the AMC Mercado 24 in Sacramento, California.	[A]That’s right. No Time To Die is not showing in Davis, California.	dlg-9959ffbf-7168-4eed-bfa7-454e93d7560c
"<U>Make it IMAX. Thanks!<C><U>Hello, I want to buy movie tickets.<A>Hi, how may I assist you today?<U>I want to watch the movie ""Spies in Disguise"".<A>Sure, I can help you with that.<U>Thank you!<A>You are welcome. What is the city and name of the movie theater?<U>The city is New York City, New York and the name of the movie theater is Edward CD 232.<A>Sure, I will write that down. What time and how many tickets?<U>At 4:35 PM and 5 tickets.<A>Sounds great, thank you for the information.<U>No problem.<A>And what screening preference do you have in mind?"	[A]You are welcome. Let me check it for you.	dlg-d260f104-92b9-4ec8-9882-cadae0bbc6e8
<U>That's really unfortunate, I was excited about that. Are there any other action films playing in Davis, California?<C><U>Hello, I'd like to buy movie tickets at a place somewhere in Davis, California.<A>No problem. Do you have a movie in mind?<U>I'm feeling like No Time To Die might be a good choice tonight.<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Davis, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mercado 24<A>It looks like the nearest theater playing No Time To Die is at the AMC Mercado 24 in Sacramento, California.<U>Is this movie not playing anywhere in Davis, California?<A>That’s right. No Time To Die is not showing in Davis, California.	[PN]find_movies[PAN]name.genre[PAV]action[PAN]location[PAV]Davis, California	dlg-1fa04697-550f-46b6-a610-210676e8284f
