<U>Yes, I'd like to buy movie tickets for today.	[A]I'd be glad to assist you. Do you know what you want to see, or would you like some help?	dlg-b422568e-0f8d-42f3-9bf3-e118807699ae
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mercado 24<C><U>Hi, I need ticks for movies in Davis, California.<A>No problem. Do you have a movie in mind?<U>I'm thinking No Time to Die.<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Davis, California	[A]It looks like the nearest theater playing No Time To Die is at the AMC Mercado 24 in Sacramento, California.	dlg-d1b9b7d9-818b-4b2c-acb6-4fcc77ab73aa
<U>All right, what else is playing on theater?<C><U>I want to watch a movie<A>in theater or at home?<U>In theater, but put on ipman 3 at home too<A>very well sir, you seem to like that movie a lot<U>Yes I do<A>so what movie do you want to watch on theater?<U>I am going to watch far from you, but I want to check out the times for the other movie Sam’s Delight as well<A>which theater do you want to check showtime and book ticket at?<U>Legacy Monument Family 12 at Land’s End Montana<A>is it for today?<U>yes<PN>find_showtimes<PAN>name.movie<PAV>Sam’s Delight<PAN>name.theater<PAV>Legacy Monument Family 12<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:00pm<PRAV>6:10pm<PRAV>8:30pm<PRAV>10:40pm<PN>find_showtimes<PAN>name.movie<PAV>far from you<PAN>name.theater<PAV>Legacy Monument Family 12<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>8:40pm<PRAV>10:40pm<A>Showtimes for Sam’s delight = 4:00pm 6:10pm 8:30pm 10:40pmShowtimes for Far From You = 8:40pm and 10:40pm	[PN]find_movies[PAN]name.theater[PAV]Legacy Monument Family 12[PAN]location[PAV]Land’s End Montana	dlg-64e7e59b-e463-4642-8635-4f636525991f
<U>No, that's it for now.<C><U>Yes, I'm interested in getting movie tickets for the AMC Mountain 16 tonight.<A>No problem. Is there a particular type of movie you’re looking for?<U>Yes, I like action movies.<A>Sure. I can help with that. Let me check listings at AMC Mercado 24.<U>No, I said the AMC Mountain 16.<A>Oh, sorry about that. So you’re interested in action films at AMC Mountain 16, right?<U>Right.<PN>find_movies<PAN>name.genre<PAV>action<PAN>name.theater<PAV>AMC Mountain 16<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<A>OK. I see one action movie playing at AMC Mountain 16: No Time To Die. Remaining showtimes are 4:30pm, 6:40pm and 9:10pm. Does any of those work?<U>Yes, the 9:10pm time slot.<A>Great. And how many tickets?<U>They're for me and my two younger brothers.<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?<U>Perfect.<A>Is it OK to go ahead and purchase these tickets?<U>Yes, thanks.<PN>book_tickets<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>AMC Mountain 16<PAN>time.showing<PAV>4:30pm<PAN>num.tickets<PAV>three<PAN>date.showing<PAV>tonight<PR>book_tickets<PRAN>status<PRAV>success<A>OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	[A]OK. Enjoy your movie!	dlg-276178d4-e0e9-4037-a25b-35eb2c50d037
<U>Is Shuttered rated PG-13 too?<C><U>Hi. Can I order some movies tickets please?<A>Sure. What movie would you like to see?<U>I'd like to see a horror movie, are there any playing in Spring Hills, Kansas tonight?<PN>resolve_location<PAN>location<PAV>Spring Hills, Kansas<PR>resolve_location<PRAN>location<PRAV>Spring Hills, Kansas<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.genre<PAV>horror<PR>find_movies<PRAN>name.movie<PRAV>Shuttered<A>Yes, in fact, Shuttered is playing there tonight.<U>What's that about?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>It's about a haunted marijuana farm<A>It's about a haunted marijuana farm.<U>Okay, maybe not a horror movie then. Is there an action movie playing?<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.genre<PAV>action<PR>find_movies<PRAN>name.movie<PRAV>Beyond the Storm<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron's<A>Yes, James Cameron's Beyond the Storm is playing.<U>Oh that would be way better. What's that rated?<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<A>Beyond the Storm is rated PG-13.	[PN]get_movie_attribute[PAN]name.movie[PAV]Shuttered[PAN]attribute[PAV]rating.movie	dlg-abe0a341-7a17-4040-b595-1bce41e026eb
<U>I think I would like to see No Time To Die.<C><U>I would like to buy movie tickets for theaters in Davis, California.<A>No problem. Do you have a movie in mind?	[PN]find_theaters[PAN]name.movie[PAV]No Time To Die[PAN]location[PAV]Davis, California	dlg-470b0aa7-8117-479f-b44c-69ec9666f82a
<U>no<C><U>i'll lov to buy movie tickets at AMC Mountain 16<A>No problem. Is there a particular type of movie you’re looking for?<U>i love action movies<A>Sure. I can help with that. Let me check listings at AMC Mercado 24.<U>notAMC mercado 24 but AMC mountain 16<A>Oh, sorry about that. So you’re interested in action films at AMC Mountain 16, right?<U>yea<PN>find_movies<PAN>name.genre<PAV>action<PAN>name.theater<PAV>AMC Mountain 16<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<A>OK. I see one action movie playing at AMC Mountain 16: No Time To Die. Remaining showtimes are 4:30pm, 6:40pm and 9:10pm. Does any of those work?<U>yes,9:10pm is cool.<A>Great. And how many tickets?<U>for Jude,Mary and myself<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?<U>correct<A>Is it OK to go ahead and purchase these tickets?<U>yes<PN>book_tickets<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>AMC Mountain 16<PAN>time.showing<PAV>4:30pm<PAN>num.tickets<PAV>three<PAN>date.showing<PAV>tonight<PR>book_tickets<PRAN>status<PRAV>success<A>OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	[A]OK. Enjoy your movie!	dlg-2350f36c-4f76-43a6-898d-87c307fd2889
<U>We are in Spring Hills, Kansas. I think our theater choices are the AMC Holiday Theater or the Cinemark Downtown.<C><U>Hey, I need ten seats tonight for either one of two movies.<A>And where are you located?	[A]I show both of those theaters and you said you are looking for ten seats?	dlg-8dd24d82-2a42-4c3c-82ed-3321c32afc89
<U>I need some information about movies for tonight.<C><U>Hello can you do me a favor ?<A>Sure what do you need?	[A]Okay what do you need?	dlg-e229a2c1-ae67-4172-9dc0-a2479e20e8ef
<U>I was thinking around 8 or 9 o'clock would be great.<C><U>Hey there. I'd like to get some movie tickets for tonight.<A>Alright great. What movie do you wanna see?<U>Every time I'm on social media I keep seeing people talk about the movie 1917. I thought I would check it out.<A>Oh I think you'll be very satisfied with it. I won't spoil it for you but I saw it last week and really enjoyed it.<U>Oh well that's good to know.<A>So who will be going with you?<U>My friend John really wants to see this as well. So it will just be the 2 of us.<A>OK fantastic. Do you have a particular time in mind?	[A]Alright, let me look up and see if they have this time available.	dlg-89c0b2ff-3f45-41fd-94d0-1909e2e590ba
<U>Let’s go with 4pm<C><U>Can you help me purchase movie tickets for this afternoon?<A>Sure do you know what theater you would like to go to?<U>AMC in Phoenix<A>Do you know what movie you want to see at AMC?<U>No, I’m taking my niece. Is there anything playing for children?<PN>find_movies<PAN>name.theater<PAV>AMC<PAN>location<PAV>Phoenix<PR>find_movies<PRAN>name.movie<PRAV>Doolittle<PRAV>jumanji<A>Both Doolittle and jumanji are playing at AMC<U>Which one has a higher rating?<PN>get_movie_attribute<PAN>name.movie<PAV>jumanji<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Jumanji has a higher rating at 71% on rotten tomatoes<PN>get_movie_attribute<PAN>name.movie<PAV>Doolittle<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>do little is at a 16%<A>Jumanji has a higher rating at 71% on rotten tomatoes while do little is at a 16%<U>Wow, let’s go with jumanji<A>Okay on a standard or imax?<U>Standard<PN>find_showtimes<PAN>name.movie<PAV>jumanji<PAN>name.theater<PAV>AMC<PAN>date.showing<PAV>today<PAN>time.preference<PAV>afternoon<PAN>type.screening<PAV>standard<PR>find_showtimes<PRAN>time.showing<PRAV>230pm<PRAV>4pm<PRAV>5pm<PRAV>7pm<A>Jumanji is playing at 230pm, 4pm, 5pm, 7pm	[A]How many tickets?	dlg-f68686f8-8870-41f4-85bb-c01fc0eb9a6f
<U>I liked that version but, I am not really in the mood to watch it. I really wanted to see No Time To Die. Since it isn't playing nearby, I think I will stay home and watch tv instead. Thanks anyway.<C><U>I'm looking to buy tickets for a movie in Davis, California<A>No problem. Do you have a movie in mind?<U>I was looking into seeing No Time To Die<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Davis, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mercado 24<A>It looks like the nearest theater playing No Time To Die is at the AMC Mercado 24 in Sacramento, California.<U>So, nothing is available in Davis, California?<A>That’s right. No Time To Die is not showing in Davis, California.<U>Well darn. What is available to watch in Davis, California? I am in the mood for an action flick.<PN>find_movies<PAN>name.genre<PAV>action<PAN>location<PAV>Davis, California<PR>find_movies<PRAN>name.movie<PRAV>Mad Max<A>I see one action movie playing in Davis, California at AMC Mercado 24 called Mad Max.<U>Oooh is that the original from 1979?<PN>get_movie_attribute<PAN>attribute<PAV>date.release<PAN>name.movie<PAV>var_movie_3<PR>get_movie_attribute<PRAN>date.release<PRAV>October 12, 1979<A>The release date for this film is October 12, 1979.	[A]No problem. Hope to talk to you again soon.	dlg-97b4e206-9138-48e9-a799-7eca1c938c4a
<U>Yes. That is correct!<C><U>Hello<A>Hello. How are you?<U>I'm fine thank you. And you?<A>Doing great. Thank you! How can i help you?<U>I'm looking for movie tickets<A>Alright. Which movie would you like to watch?<U>Angel Has Fallen<A>How many people?<U>3<A>Which screening type do you prefer?<U>IMAX<A>Which city are you located in?<U>Riverside<A>Great. Let me check for you!<U>I'm sorry. I just got word that 2 more people want to join us. Can you book for 5 instead of 3?<A>Sure. No problem. Let me check for you<U>Great. Go ahead!<A>Alright. Just to confirm, you're looking for 5 tickets, IMAX in Riverside to watch Angel Has Fallen	[PN]book_tickets[PAN]name.movie[PAV]Angel Has Fallen[PAN]name.theater[PAV]Riverside[PAN]num.tickets[PAV]5[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-ba9f891f-0d1a-4bd1-987a-96d2b3e0eaac
<U>By email.<C><U>I'd like to see an action movie.<A>What did you have in mind?<U>Bloodshot with Vin Diesel, is that out yet<A>Yes.<U>I want two tickets.<A>Which location?<U>The Marcus in Elgin, IL<A>Format preference?<U>Just standard.<A>What time?<U>7:10.<A>Let me go over the details. Two tickets to see Bloodshot at the Marcus Theater in Elgin, IL at 7:10.<U>I changed my mind. I want to do the ultrascreen showing at 9:30 PM<A>Let me go over the details. Two tickets to see Bloodshot at the Marcus Theater in Elgin, IL at 9:30. That is on the UltraScreen.<U>Perfect.<A>One moment.<U>Okay.<A>How would you like to receive the tickets?	[PN]book_tickets[PAN]name.movie[PAV]Bloodshot[PAN]name.theater[PAV]Marcus Theater[PAN]num.tickets[PAV]two[PAN]time.showing[PAV]9:30[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-ed2af8de-29e3-4955-b99a-3fb42b5a33ee
<PR>find_movies<PRAN>name.movie<PRAV>12 strong men<PRAV>avengers endgame<PRAV>john wick<PRAV>hobbs and shaw<C><U>what is a good action movie? \n<PN>find_movies<PAN>name.genre<PAV>action<PAN>description.other<PAV>good action movie	[A]Action movies, 12 strong men, avengers endgame, john wick, and hobbs and shaw.	dlg-e35b1d3a-8acf-48d2-88fb-a39b47b4e644
<PR>find_showtimes<PRAN>time.showing<PRAV>3:55 pm<PRAV>7 pm<PRAV>10:05 pm<C><U>I feel like seeing a movie tonight, are there any good movies playing?<A>I can help you with that, where are you located?<U>I am in Spring Hills Kansas.<PN>find_movies<PAN>location<PAV>Spring Hills Kansas<PAN>description.other<PAV>good movies<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered<PRAV>Beyond the Storm<PRAV>Backcountry<A>There are five movies playing near there, they are Not My Problem, Family Jewels, Shuttered, Beyond the Storm, and Backcountry.<U>Can you tell me more about Backcountry and Not My Problem?<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>G<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>documentary<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>about Yosemite national park<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>about a troubled teen<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<A>Sure, Backcountry is a G rated documentary and is about Yosemite national park, Not My Problem is a comedy rated PG-13 and about a troubled teen starring Matt Damon.<U>I think Not My Problem sounds more interesting, what is the score on Rotten Tomatoes?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>72% on Rotten Tomatoes<A>Not My Problem has a score of 72% on Rotten Tomatoes.<U>I guess that will work, what time is it playing tonight?<PN>find_theaters<PAN>name.movie<PAV>Not My Problem<PAN>location<PAV>Spring Hills Kansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>tonight	[A]Not My Problem is showing at AMC Holiday Theater at 3:55 pm, 7 pm, and 10:05 pm.	dlg-dccc7b00-2897-45aa-bd16-d1faaa14388a
