<PR>find_showtimes<PRAN>time.showing<PRAV>1:00PM<C><U>Is the new Birds of Prey movie showing at the Bel Air Luxury Cinema?<PN>find_movies<PAN>name.theater<PAV>Bel Air Luxury Cinema<PAN>description.other<PAV>new<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Birds of Prey<A>Yes. Birds of Prey is being shown at the Bel Air Luxury Cinema.<U>What is the movie rated?<PN>get_movie_attribute<PAN>name.movie<PAV>Birds of Prey<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>Rated-R<A>The movie is Rated-R.<U>Is there a matinee showing of the movie around 10:00AM?<PN>find_showtimes<PAN>name.movie<PAV>Birds of Prey<PAN>name.theater<PAV>Bel Air Luxury Cinema<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 10:00AM<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>Unfortunately, there is no matinee showing of this film at 10:00AM in any nearby theaters. Is there any other times you would prefer?<U>No. I want to see a movie at 10:00AM.<A>Do you have any other movie preferences?<U>What about Sonic the Hedgehog at the Devonshire Mall theater?<PN>find_movies<PAN>name.theater<PAV>Devonshire Mall<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Sonic the Hedgehog<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>Devonshire Mall<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 10:00AM<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>Sonic the Hedgehog is playing at Devonshire Mall theater, but there are no showings around 10:00AM.<U>I may be able to change my showtime preference to 1:00PM. Are the Birds of Prey or Sonic the Hedgehog movies playing around 1:00PM?<PN>find_theaters<PAN>name.movie<PAV>Birds of Prey<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Fairlane 21<PN>find_theaters<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Fairlane 21<PN>find_showtimes<PAN>name.movie<PAV>Birds of Prey<PAN>name.theater<PAV>AMC Fairlane 21<PAN>date.showing<PAV>today<PAN>time.preference<PAV>1:00PM<PR>find_showtimes<PRAN>time.showing<PRAV>1:00PM<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>AMC Fairlane 21<PAN>time.preference<PAV>10:00AM<PAN>date.showing<PAV>today	[A]The AMC Fairlane 21 has 1:00PM showtimes for both Birds of Prey and Sonic the Hedgehog.	dlg-ab7bc910-e728-4339-b0f6-f4f9b5dc2c1b
<U>Thanks very much.<C><S><A>Hello. How can I help you?<U>Please help me get tickets for the Daniel Craig flick.<PN>resolve_movie<PAN>name.movie<PAV>Daniel Craig flick<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<PN>find_movies<PAN>name.person<PAV>Daniel Craig<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>Yes, that is correct.<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>Please help me get tickets for San Fran.<PN>resolve_location<PAN>location<PAV>San Fran<PR>resolve_location<PRAN>location<PRAV>San Francisco, California<A>OK. San Francisco, California. One moment.<U>Thanks for your help.<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>San Francisco, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. No Time To Die is currently playing at AMC Mountain 16 and Cinemark Plaza 24 in San Francisco, California. Do you have a preference?<U>I'd like AMC Mountain 16.<A>OK. Let me check showtimes at AMC Mountain 16.	[PN]find_showtimes[PAN]name.movie[PAV]No Time To Die[PAN]name.theater[PAV]AMC Mountain 16[PAN]date.showing[PAV]today[PAN]time.preference[PAV]any	dlg-4ece1803-4210-455d-bae3-07ffb025532c
<PR>resolve_theater<PRAN>name.theater<PRAV>AMC Mercado 24<C><U>Hi, I am interested in buying three movie tickets for tonight at AMC.<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?<U>The theater is in Santa Barbara, California.<PN>resolve_theater<PAN>name.theater<PAV>AMC<PAN>location<PAV>Santa Barbara, California	[A]OK. And are you interested in AMC Mountain 16 or AMC Mercado 24?	dlg-b8b60c82-7d97-4f09-872c-4f583666a909
<PR>book_tickets<PRAN>status<PRAV>success<C><U>I'd like to buy some movie tickets<A>Great. In what city are you located today?<U>Spring Hills Kansas<A>Okay. Do you know what movie you want tickets for?<U>I'm still deciding. What are the reviews like for Shuttered?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>61% on Rotten Tomatoes<A>Shuttered is rated 61% on Rotten Tomatoes.<U>How about the rating for Not My Problem?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>72% on Rotten Tomatoes<A>Not My Problem is rated 72% on Rotten Tomatoes.<U>Alright. I guess I'll see Not My Problem then.<PN>find_theaters<PAN>location<PAV>Spring Hills Kansas<PAN>name.movie<PAV>Not My Problem<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<A>Good choice. The nearest theater to you is the AMC Holiday Theater. Will that work?<U>Yes, that's fine.<A>How many tickets do you need?<U>Two tickets, please.<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem<PAN>name.theater<PAV>AMC Holiday<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<PRAV>7pm<PRAV>10:05pm<A>Okay. And the show times for the movie are at 1pm, 3:55pm, 7pm, and 10:05pm. Which time do you prefer?<U>Let's do the 1pm showing.<A>And finally, what day do you want tickets for?<U>August 27th.<A>Understood. To confirm your purchase, that will be two tickets to Not My Problem at AMC Holiday Theater at 1pm on August 27th. Is that all right?<U>Yes, that's right.<PN>book_tickets<PAN>name.movie<PAV>Not My Problem<PAN>name.theater<PAV>AMC Holiday<PAN>num.tickets<PAV>Two<PAN>time.showing<PAV>1pm<PAN>date.showing<PAV>August 27th<PAN>seating<PAV>any	[A]Okay. Your tickets are confirmed and they’ve been sent to your email address.	dlg-ce69586c-eb87-4b58-80de-715c9dd1b6cd
<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<C><U>I’d like movie tickets for movie_1_alt_1.<PN>resolve_movie<PAN>name.movie<PAV>{}	[A]Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?	dlg-f0af533e-7896-47ec-9d36-56e4d5028dcb
<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<PRAV>7pm<PRAV>10:05pm<C><U>I need to know what type of movie is Not My Problem.<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<A>It is a comedy.<U>Now, what type of movie is shuttered?<PN>get_movie_attribute<PAN>name.movie<PAV>shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror<A>That movie is a horror film.<U>Okay, so what are the Rotten Tomatoes scores of those two movies?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>72 percent<PN>get_movie_attribute<PAN>name.movie<PAV>shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>61 percent<A>Not My Problem has a score of 72 percent and Shuttered has a score of 61 percent.<U>Now, what is the recommended age rating of Not my problem?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<A>It is a PG-13 movie.<U>Okay thanks. So, what is the age rating of shuttered?<PN>get_movie_attribute<PAN>name.movie<PAV>shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<A>It is a R rated film.<U>Thanks, now what are the showtimes for Not my Problem at the AMC Holiday Theater on this Saturday?<PN>find_theaters<PAN>name.movie<PAV>Not My Problem<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem<PAN>date.showing<PAV>Saturday<PAN>name.theater<PAV>AMC Holiday Theater<PAN>time.preference<PAV>any	[A]They are at 1pm, 3:55pm, 7pm, and 10:05pm.	dlg-d417ff20-ae3c-498e-ac1b-e62b68bc5fe7
"<U>But there is no batman in this movie?<C><U>I'd like to go see a movie with my friends this weekend.<A>What style of movie do you wish to go see?<U>Something with action and humor. Give me a few options.<PN>find_movies<PAN>name.genre<PAV>action and humor<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Joker<PRAV>Jexi<PRAV>Abominable<PRAV>Rambo: Last Blood<A>I recommend the following movies: Joker, Jexi, Abominable, and Rambo: Last Blood<U>Hmm...I've never heard of Jexi, what is it about?<PN>get_movie_attribute<PAN>name.movie<PAV>Jexi<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>is...""A comedy about what can happen when you love your phone more than anything else in your life.""<A>Jexi is...""A comedy about what can happen when you love your phone more than anything else in your life.""<U>Is that the plot summary? I am confused.<A>That is, indeed, the plot summary.<U>Can you extrapolate more information about the plot and feed it back to me in your own words?<PN>get_movie_attribute<PAN>name.movie<PAV>Jexi<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Jexi is about a person who is dependant on his phone. After getting an upgrade, he discovers that his phone now has an A.I. life coach<A>I can try. Jexi is about a person who is dependant on his phone. After getting an upgrade, he discovers that his phone now has an A.I. life coach.<U>That sounds kind of interesting, I'll keep it in mind. What about Abominamable? Is it like the snowman?<A>The plot involves a yeti, yes.<U>I've never cared much for yetis, let's talk about Rambo. I've never seen any in the series, would I need to see them to 'get' this movie?<A>Rambo: Last Blood is the final movie in the series, it would likely be best to have seen the previous titles.<U>Well then, howabout Joker. I like batman and I have heard this movie has some social commentary in it.<PN>get_movie_attribute<PAN>name.movie<PAV>Joker<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>the movie is about Joker's rise to villanry and the social elements that helped it happen<A>You heard correctly, the movie is about Joker's rise to villanry and the social elements that helped it happen."	[A]Correct.	dlg-7be61739-9644-44b3-942d-b65e8356e906
<U>Mad MAx<C><U>AMC Mountain 16<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?<U>Santa Barbara<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>OK. And are you interested in AMC Mountain 16 or AMC Mercado 24?<U>AMC Mountain 16<A>Sorry for the trouble but I wanted to make sure I have it right.<U>OK.<A>Is there a particular movie you’re looking for?	[A]OK, so far I understand that you are interested in tickets for tonight at AMC Mountain 16. We just need to decide on a movie, the number of tickets and a showtime.	dlg-9c2ba440-f8b1-417f-b979-e0a589b76df1
<PR>resolve_location<PRAN>location<PRAV>Hillview Washington<C><U>We are bored<A>Can I make a suggestion?<U>Yes, please do!<A>What about a movie?<U>Oh, that is a great idea.<A>I can get you tickets<U>Even better<A>Where are you located?<U>Hillview Washington<PN>resolve_location<PAN>location<PAV>Hillview Washington	[A]There are 4 movies in your area	dlg-b3100866-5a3d-4ffd-8a92-b490730fc530
<U>The city is Creek’s End, Oregon.<C><U>We want to go for a movie tonight.<A>OK. And in what city?	[A]Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?	dlg-bede35d3-4191-4ac3-aca1-7e6924dff954
<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<C><U>Hello, I'm interest in going to the movies.<A>OK. Do you have anything in mind?<U>No, nothing pops in my mind.<A>Sure. And what city are you looking in?<U>The city is Brando, Texas, and I want to be the nearest as I need to get back home after it's done.<PN>resolve_location<PAN>location<PAV>Brando, Texas<PR>resolve_location<PRAN>location<PRAV>Brando, Texas<A>Brando, Texas. Got it. And is there a particular type of movie you’d like to see?<U>Well, what are the titles playing right now?<PN>find_movies<PAN>location<PAV>Brando, Texas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Stella’s House<A>A few titles playing in your area are No Time To Die, Mulan, and Stella’s House.<U>Oh, I heard a lot of good things about 'Stella's House' from some friends. Who's the director of the movie?<PN>get_movie_attribute<PAN>attribute<PAV>name.person<PAN>name.movie<PAV>Stella’s House<PR>get_movie_attribute<PRAN>name.person<PRAV>Clyde Stewart<A>The director of Stella’s House is Clyde Stewart.<U>Oh, that person does a lot of good films! Can you tell me what theaters and times that are playing that film?<PN>find_theaters<PAN>name.movie<PAV>Stella’s House<PAN>location<PAV>Brando, Texas<PR>find_theaters<PRAN>name.theater<PRAV>Milford Theater<A>OK. Hold on a moment while I get showtimes.<PN>find_showtimes<PAN>name.movie<PAV>Stella’s House<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>Milford Theater<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<A>OK. Stella’s House is playing at the Milford Theater. Showtimes are 4:40pm, 7:10pm, and 9:30pm. Which one would you prefer?<U>Oh, I forgot that I'm Busy tonight! So change the date for the next day.<A>No problem. Let me check the showtimes for tomorrow.<PN>find_showtimes<PAN>name.movie<PAV>Stella’s House<PAN>date.showing<PAV>tomorrow<PAN>name.theater<PAV>Milford Theater	[A]OK. The showtimes for tomorrow are the same. Which one should I book?	dlg-75bcd6d9-f885-4c93-b58d-2028586fe93c
